loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp,week_temp,week_l_temp,week_h_temp,week_rain_per_day,week_wind,week_dew,week_humidity,week_steam_pressure,week_sunshine_time,week_sunshine,week_ground_surface_temp
159,何魂,2015-01-01,-2.2,-4.9,1.2,,4.3,-15.7,35.4,1.8,9.2,11.56,-0.4,,,,,,,,,,,
159,何魂,2015-01-02,-1,-4.6,3.7,,3.4,-12.8,41.3,2.3,9.2,10.38,-0.8,,,,,,,,,,,
159,何魂,2015-01-03,1.8,-3.8,7.9,,4.1,-13.9,32,2.2,9.4,11.27,0.9,,,,,,,,,,,
159,何魂,2015-01-04,7,2.1,13,,2.6,-1.9,53.8,5.6,8.8,10.04,3.8,,,,,,,,,,,
159,何魂,2015-01-05,9.3,2.9,13.4,0.5,1.8,3.4,67.4,8.2,5.1,7.31,5.9,,,,,,,,,,,
159,何魂,2015-01-06,7.6,1.8,13.5,26,4.4,-5.3,48.8,5.7,8.6,10.62,6.8,,,,,,,,,,,
159,何魂,2015-01-07,1.4,-1.2,6.1,,3.4,-17.4,24,1.6,9.1,12.61,0.7,,,,,,,,,,,
159,何魂,2015-01-08,0.8,-3.6,6.2,,3.7,-13.6,33.8,2.1,9.4,12.05,-0.5,,,,,,,,,,,
159,何魂,2015-01-09,2.8,-0.8,7.4,,2.7,-8.2,44.5,3.4,9.3,11.45,0.5,,,,,,,,,,,
159,何魂,2015-01-10,4,-0.3,8.8,,2.4,-8,42.3,3.4,9.4,12,1.3,,,,,,,,,,,
159,何魂,2015-01-11,4.6,1,10.6,,4.4,-7.8,41.9,3.5,9.1,10.74,1.6,4.357142857,-0.028571429,9.428571429,13.25,3.257142857,-8.128571429,43.24285714,3.985714286,8.571428571,10.96857143,2.328571429
159,何魂,2015-01-12,3,-2,9.4,,2.6,-7.9,45.1,3.4,9.2,11.48,1.6,,,,,,,,,,,
159,何魂,2015-01-13,6.1,1.5,11.8,,1.1,-1.6,58,5.5,6.9,10.51,3,,,,,,,,,,,
159,何魂,2015-01-14,6.6,5.5,8.2,5,1.3,3.5,81.5,8,0,2.24,5.1,,,,,,,,,,,
159,何魂,2015-01-15,7.5,4.9,11.4,3.5,2.6,3.4,76.5,7.8,3.7,6.95,6.1,,,,,,,,,,,
159,何魂,2015-01-16,6.2,3.5,10.8,,3.1,-0.7,62.9,5.9,7.7,9.97,3.5,,,,,,,,,,,
159,何魂,2015-01-17,3.1,0.6,8,,4.8,-12.6,32.6,2.5,9.5,12.71,2,,,,,,,,,,,
159,何魂,2015-01-18,4.4,-0.4,8.9,,4.7,-11,35,3.1,9.7,13.09,2.3,5.271428571,1.942857143,9.785714286,4.25,2.885714286,-3.842857143,55.94285714,5.171428571,6.671428571,9.564285714,3.371428571
159,何魂,2015-01-19,6.1,2.6,10.8,,4.8,-4.7,47.3,4.3,9,10.96,4.3,,,,,,,,,,,
159,何魂,2015-01-20,5.1,-0.2,10.4,,2,-2.4,59,5.2,9,11.61,3.5,,,,,,,,,,,
159,何魂,2015-01-21,7.2,5.3,10.3,3,2,3.7,79.5,8,0.5,3.15,5.6,,,,,,,,,,,
159,何魂,2015-01-22,6.2,4.3,8.6,2.5,2.7,2.1,76.4,7.2,0.3,3.78,5.9,,,,,,,,,,,
159,何魂,2015-01-23,5.5,1.6,10.4,,3.3,-2.3,58.1,5.2,9.7,12.19,4,,,,,,,,,,,
159,何魂,2015-01-24,5.5,1.1,11.4,,2.8,-2,59.5,5.3,9.6,12.93,4.2,,,,,,,,,,,
159,何魂,2015-01-25,8.6,4.3,12.3,0.1,1.5,3.4,70.4,8,3.5,6.31,5.2,6.314285714,2.714285714,10.6,1.866666667,2.728571429,-0.314285714,64.31428571,6.171428571,5.942857143,8.704285714,4.671428571
159,何魂,2015-01-26,10.6,8.3,13.9,9.5,2.3,8.9,89.8,11.5,3.1,6.71,10,,,,,,,,,,,
159,何魂,2015-01-27,5.3,1.5,9.5,,3.3,-5.4,49.4,4.5,5.3,8.45,4.5,,,,,,,,,,,
159,何魂,2015-01-28,2.9,-1,8.7,,3.8,-6.5,52.5,4.1,6.6,10.91,2.6,,,,,,,,,,,
159,何魂,2015-01-29,5.1,2.2,8.1,0.5,2.9,0.1,70.3,6.2,0,3.03,4.1,,,,,,,,,,,
159,何魂,2015-01-30,3.8,-0.4,8.4,0.1,4.2,-6.7,50.4,4.1,6.4,10.86,4.6,,,,,,,,,,,
159,何魂,2015-01-31,0.7,-3.4,7.1,,4.2,-13,35.5,2.3,10.1,14.54,1.3,,,,,,,,,,,
159,何魂,2015-02-01,3.2,-1.7,10,,2.4,-11.7,33.8,2.6,10.1,14.55,2,4.514285714,0.785714286,9.385714286,3.366666667,3.3,-4.9,54.52857143,5.042857143,5.942857143,9.864285714,4.157142857
159,何魂,2015-02-02,5,0.8,10.4,,1.9,-3.7,53.9,4.7,7.7,9.56,2,,,,,,,,,,,
159,何魂,2015-02-03,6.7,2.1,11.5,,1.8,-0.8,59.5,5.8,7,11.48,4.6,,,,,,,,,,,
159,何魂,2015-02-04,5.2,2.3,9.9,1,2.3,-2,63.6,5.5,4,6.46,5.7,,,,,,,,,,,
159,何魂,2015-02-05,3.7,0.2,8.9,,2.9,-6.5,48.5,3.8,9.6,13.37,3.5,,,,,,,,,,,
159,何魂,2015-02-06,4.2,-0.7,10.6,,3.3,-6.6,47.1,3.8,9.9,14.78,4.5,,,,,,,,,,,
159,何魂,2015-02-07,5.6,2.3,10.3,,3.5,-3.9,50.8,4.6,6.7,13.05,6.9,,,,,,,,,,,
159,何魂,2015-02-08,0.2,-5.2,4.7,,4.5,-16.2,30.3,2,10,15.81,3.9,4.371428571,0.257142857,9.471428571,1,2.885714286,-5.671428571,50.52857143,4.314285714,7.842857143,12.07285714,4.442857143
159,何魂,2015-02-09,-2.2,-7.8,3,,4.5,-17,32.9,1.7,10.4,15.84,1.1,,,,,,,,,,,
159,何魂,2015-02-10,4.4,-0.9,9.1,,5.2,-5.6,48.6,4.1,9.9,13.76,4.5,,,,,,,,,,,
159,何魂,2015-02-11,6.5,2.3,10.4,,4.6,-1.4,57.6,5.5,8.3,12.5,4.6,,,,,,,,,,,
159,何魂,2015-02-12,5.2,0.5,9.8,,3.8,-8,40.9,3.6,9.6,15.26,6.4,,,,,,,,,,,
159,何魂,2015-02-13,1.9,-2.8,8.5,,3,-14.2,29.8,2.1,9.3,15.75,3.6,,,,,,,,,,,
159,何魂,2015-02-14,5.3,-0.8,11.3,,3,-5.5,47.3,4.3,10.3,15.81,5.7,,,,,,,,,,,
159,何魂,2015-02-15,7.8,5.1,10.5,2.5,2.6,1.9,67.9,7.2,0.1,3.17,5.3,4.128571429,-0.628571429,8.942857143,2.5,3.814285714,-7.114285714,46.42857143,4.071428571,8.271428571,13.15571429,4.457142857
159,何魂,2015-02-16,6.7,6.1,7.6,3.5,3.6,5.1,90.3,8.8,0,1.39,6.2,,,,,,,,,,,
159,何魂,2015-02-17,6.5,3.4,11.6,,3,-0.2,64.6,6.1,9.4,14.28,6.8,,,,,,,,,,,
159,何魂,2015-02-18,4.6,1.9,9.4,,4,-3.6,56.1,4.7,9.6,14.5,5,,,,,,,,,,,
159,何魂,2015-02-19,4.9,0.7,11.5,,3.1,-1.6,63.9,5.5,7.5,11.78,3.2,,,,,,,,,,,
159,何魂,2015-02-20,6.6,2.3,11.2,,2.7,-0.9,59,5.7,9.8,15.8,5.7,,,,,,,,,,,
159,何魂,2015-02-21,9,5.5,10.5,13,2.7,6.5,85.1,9.9,0,1.59,7.2,,,,,,,,,,,
159,何魂,2015-02-22,11.1,6,15.4,4.5,4.2,7.9,82.3,11.1,3.9,7.31,11.3,7.057142857,3.7,11.02857143,7,3.328571429,1.885714286,71.61428571,7.4,5.742857143,9.521428571,6.485714286
159,何魂,2015-02-23,6.7,2.9,13.6,,3.4,-3.7,49.4,4.7,6.1,13.32,7.1,,,,,,,,,,,
159,何魂,2015-02-24,7.8,3.9,13.9,,2.8,-4.6,43.3,4.4,7.5,14.24,7.9,,,,,,,,,,,
159,何魂,2015-02-25,9.7,6.2,12.9,,2,2.1,59.9,7.3,3.1,9.14,8,,,,,,,,,,,
159,何魂,2015-02-26,8.8,2.5,14.9,,3.8,-3.9,45.8,5.4,7.2,12.58,9.3,,,,,,,,,,,
159,何魂,2015-02-27,2,-1.5,6.4,,3.4,-11.2,38.1,2.7,4.8,10.13,2.9,,,,,,,,,,,
159,何魂,2015-02-28,5.3,2.9,7.9,6,3.5,-0.8,66.5,5.9,0,4.09,5.6,,,,,,,,,,,
159,何魂,2015-03-01,5.1,2.2,9.6,2.5,2.6,-0.5,70.4,6,7.7,13.62,6.7,6.485714286,2.728571429,11.31428571,4.25,3.071428571,-3.228571429,53.34285714,5.2,5.2,11.01714286,6.785714286
159,何魂,2015-03-02,5.2,0.9,10.2,,3.3,-5.7,46.1,4.1,11,18.93,5.6,,,,,,,,,,,
159,何魂,2015-03-03,5,2.8,6.8,7.5,2.5,2.1,83,7.2,0,1.98,4.7,,,,,,,,,,,
159,何魂,2015-03-04,3.2,-0.4,7.7,,4.5,-10.2,38.9,2.9,9.6,18.98,4.5,,,,,,,,,,,
159,何魂,2015-03-05,3.7,-2,9.5,,3.2,-6.5,47.8,3.8,8.6,16.87,4.6,,,,,,,,,,,
159,何魂,2015-03-06,6.4,3.5,10.8,,3.1,-1.2,58.5,5.6,10.4,15.4,6.8,,,,,,,,,,,
159,何魂,2015-03-07,7.9,3.9,12.8,,2,1.3,63.8,6.8,10.7,16.45,8,,,,,,,,,,,
159,何魂,2015-03-08,8.7,4.2,13,,2.5,1.7,62.6,6.9,10.8,18.79,8.8,5.728571429,1.842857143,10.11428571,7.5,3.014285714,-2.642857143,57.24285714,5.328571429,8.728571429,15.34285714,6.142857143
159,何魂,2015-03-09,8.8,-0.2,17,0,4.3,-5,41.1,4.7,8.7,16.35,10,,,,,,,,,,,
159,何魂,2015-03-10,0.7,-4.1,6.3,,5.5,-17,26.9,1.7,11.3,21,4.7,,,,,,,,,,,
159,何魂,2015-03-11,4.2,-1.2,8.5,,5.5,-8.4,39.6,3.3,11,20.07,6.1,,,,,,,,,,,
159,何魂,2015-03-12,6.1,1.1,10,,5.6,-8.2,35.6,3.4,11.3,20.45,7.8,,,,,,,,,,,
159,何魂,2015-03-13,8.2,5.8,12,11,5.6,2.1,66.9,7.2,5.4,10.54,7.7,,,,,,,,,,,
159,何魂,2015-03-14,8.5,4.1,13.5,,2.8,-4.9,41.9,4.4,10.7,19.98,8.3,,,,,,,,,,,
159,何魂,2015-03-15,10.5,6.5,15.3,,3.1,-0.8,46.3,5.8,9.4,16.79,9.7,6.714285714,1.714285714,11.8,5.5,4.628571429,-6.028571429,42.61428571,4.357142857,9.685714286,17.88285714,7.757142857
159,何魂,2015-03-16,12.3,7.5,18.4,,1.5,1.6,50,7.1,9.9,16.9,11.4,,,,,,,,,,,
159,何魂,2015-03-17,14.6,9.7,19,,2.6,5.4,55.9,9.3,9.2,16.86,13.4,,,,,,,,,,,
159,何魂,2015-03-18,11.3,9.1,14.7,45,3.4,9.4,90,11.9,0,1.39,10.8,,,,,,,,,,,
159,何魂,2015-03-19,11.3,8.7,17.8,2.5,2.6,8.9,86.5,11.4,6.2,14.57,13.3,,,,,,,,,,,
159,何魂,2015-03-20,13.1,9.9,18.9,,2.6,8,75.1,10.9,5.8,14.09,13.6,,,,,,,,,,,
159,何魂,2015-03-21,15.5,10.8,20.9,,3.8,5.2,51.8,8.9,10.4,19.28,14.6,,,,,,,,,,,
159,何魂,2015-03-22,14.6,10.9,20.4,,3.6,-6.2,25.8,4.1,10.5,20.39,13.9,13.24285714,9.514285714,18.58571429,23.75,2.871428571,4.614285714,62.15714286,9.085714286,7.428571429,14.78285714,13
159,何魂,2015-03-23,9.3,4.7,14.7,,3.6,-10.1,25.8,3,11.8,22.78,11.5,,,,,,,,,,,
159,何魂,2015-03-24,7.9,3.3,12.4,,3.2,-4.8,41,4.3,11.5,21.16,11.1,,,,,,,,,,,
159,何魂,2015-03-25,9.6,4.9,13.8,,2.9,-1.1,47.6,5.7,11.6,21.44,11.7,,,,,,,,,,,
159,何魂,2015-03-26,11.2,7.3,15.6,,4.4,-1.8,41.4,5.4,11.8,22.3,12.4,,,,,,,,,,,
159,何魂,2015-03-27,13.4,9.4,19.3,,4.4,-1.6,36.8,5.5,9.1,19.11,13.8,,,,,,,,,,,
159,何魂,2015-03-28,14.1,9.2,18.7,,4.3,3.6,50.9,8.1,8,18.64,15,,,,,,,,,,,
159,何魂,2015-03-29,14.6,10.7,20.7,,2.8,7,61.9,10,10.5,19.49,15.8,11.44285714,7.071428571,16.45714286,0,3.657142857,-1.257142857,43.62857143,6,10.61428571,20.70285714,13.04285714
159,何魂,2015-03-30,15.4,11,20.1,,3.1,9.1,67.1,11.6,11.1,21.2,17.4,,,,,,,,,,,
159,何魂,2015-03-31,14.6,13,16.2,8,2.7,12.8,90,14.9,0.3,3.06,14.1,,,,,,,,,,,
159,何魂,2015-04-01,12.8,10.5,16.3,0.4,3.7,10.5,86.3,13,0,3.4,13.3,,,,,,,,,,,
159,何魂,2015-04-02,13.5,10.6,17.4,4.5,4.1,11.1,86.1,13.5,0.5,6.95,13.2,,,,,,,,,,,
159,何魂,2015-04-03,16.1,11.7,20.7,31,6.7,13.1,83.3,15.4,4.9,13.25,17.5,,,,,,,,,,,
159,何魂,2015-04-04,10.8,8.1,15.1,47,4.6,6.8,78.4,9.9,6.4,14.91,12.7,,,,,,,,,,,
159,何魂,2015-04-05,10.7,8.4,12.6,5,2.6,9.1,90.4,11.6,0,5.08,12.2,13.41428571,10.47142857,16.91428571,15.98333333,3.928571429,10.35714286,83.08571429,12.84285714,3.314285714,9.692857143,14.34285714
159,何魂,2015-04-06,11.3,10,12.9,11.5,2.2,9.8,91.4,12.2,0,3.73,12.6,,,,,,,,,,,
159,何魂,2015-04-07,9.8,8.8,12.3,,3.6,4.8,72,8.6,1.3,8.34,12,,,,,,,,,,,
159,何魂,2015-04-08,8.7,6.7,10.9,,3,3.7,71.3,8,2.5,8.07,10,,,,,,,,,,,
159,何魂,2015-04-09,10,5.9,14.5,,3.4,3.5,64.6,7.9,11.3,22.88,12.8,,,,,,,,,,,
159,何魂,2015-04-10,11.8,8.3,17.6,,3.4,4.1,60,8.2,9,20.63,14.3,,,,,,,,,,,
159,何魂,2015-04-11,12.5,7.8,17.6,,2.8,3.7,56.5,8.1,12.3,24.63,15.5,,,,,,,,,,,
159,何魂,2015-04-12,13.1,9.8,18.1,1.5,3.9,5,60,8.8,4.6,14.04,14.4,11.02857143,8.185714286,14.84285714,6.5,3.185714286,4.942857143,67.97142857,8.828571429,5.857142857,14.61714286,13.08571429
159,何魂,2015-04-13,11.1,10,13.5,14,4.5,9.5,90.6,11.9,0.1,4.75,11.8,,,,,,,,,,,
159,何魂,2015-04-14,11.1,8.4,14.9,12,5,6,72.3,9.4,11.9,22.64,14,,,,,,,,,,,
159,何魂,2015-04-15,13.7,7.8,19.6,,5.2,5.5,58.8,9.1,10.8,23.02,15,,,,,,,,,,,
159,何魂,2015-04-16,14.6,9.9,19,0.1,5.6,8.2,66.4,11.4,5.6,14.84,15.2,,,,,,,,,,,
159,何魂,2015-04-17,13.5,8.2,19,,4,-2.3,34.9,5.2,11.4,24.6,15.9,,,,,,,,,,,
159,何魂,2015-04-18,14.7,10.8,20.1,8,2.3,2.4,49.5,8.3,6.9,17.24,15,,,,,,,,,,,
