loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp,week_temp,week_l_temp,week_h_temp,week_rain_per_day,week_wind,week_dew,week_humidity,week_steam_pressure,week_sunshine_time,week_sunshine,week_ground_surface_temp
112,인천,2015-01-01,-7.1,-8.7,-5.1,,6.7,-14.2,57,2.1,9.1,8.77,-2.1,,,,,,,,,,,
112,인천,2015-01-02,-5.3,-7.8,-2.5,0,3.9,-12.1,59.8,2.4,8.5,8.18,-1.9,,,,,,,,,,,
112,인천,2015-01-03,-1.9,-8,2.3,,2.5,-6.7,70.5,4,7.6,7.59,-1.8,,,,,,,,,,,
112,인천,2015-01-04,3.5,0.8,8.1,,2.5,2.1,91,7.3,6.2,6.09,0.3,,,,,,,,,,,
112,인천,2015-01-05,4.2,0.4,8.7,0.5,2.2,1.9,86.4,7,4.3,5.64,0.6,,,,,,,,,,,
112,인천,2015-01-06,-3.2,-6.3,3.4,0.9,7,-9.5,63.5,3.3,9.2,9.46,0.2,,,,,,,,,,,
112,인천,2015-01-07,-4.9,-6.6,-1.8,,4.9,-14.8,46.1,2,9.3,9.12,-1.5,,,,,,,,,,,
112,인천,2015-01-08,-4.2,-7.7,-0.3,,2.2,-10.3,63.3,2.9,9.3,9,-1.7,,,,,,,,,,,
112,인천,2015-01-09,-1.1,-4.8,2.9,,2.4,-5.3,74.3,4.2,7.7,7.21,-1.1,,,,,,,,,,,
112,인천,2015-01-10,1.1,-3.7,4.9,,2.4,-3.2,74.3,5,9.1,8.72,-0.6,,,,,,,,,,,
112,인천,2015-01-11,0,-2.8,4,,5.5,-4.6,72.3,4.6,9.3,8.76,0.2,-1.157142857,-4.5,3.114285714,0.7,3.8,-6.542857143,68.6,4.142857143,8.314285714,8.272857143,-0.557142857
112,인천,2015-01-12,-2.8,-6.3,1.3,,3.2,-11.1,53,2.7,9.2,8.81,-1,,,,,,,,,,,
112,인천,2015-01-13,-0.2,-4.2,4.1,,2,-6.9,61.4,3.7,6.5,7.11,-0.7,,,,,,,,,,,
112,인천,2015-01-14,1.3,-0.5,3.1,,1.8,-5.6,60.4,4.1,0,2.41,-0.1,,,,,,,,,,,
112,인천,2015-01-15,2,-1,6.6,,3.1,-2,76.1,5.4,7.7,7.79,0.5,,,,,,,,,,,
112,인천,2015-01-16,1.1,-2.3,3.1,0,4.6,-1.1,85.6,5.8,1.8,3.65,0.2,,,,,,,,,,,
112,인천,2015-01-17,-3.7,-6.4,-0.7,,4.8,-9.9,62.4,2.9,9.5,9.76,-0.7,,,,,,,,,,,
112,인천,2015-01-18,-0.2,-4.9,3,3.3,3.7,-2.7,83.9,5.2,3.5,4.92,-0.7,-0.357142857,-3.657142857,2.928571429,1.65,3.314285714,-5.614285714,68.97142857,4.257142857,5.457142857,6.35,-0.357142857
112,인천,2015-01-19,0.2,-3.4,2.4,0.1,4.6,-2.1,84.1,5.3,8.8,8.14,0.4,,,,,,,,,,,
112,인천,2015-01-20,-1.6,-5.7,2,,2.4,-5,78,4.2,7.8,7.8,-0.3,,,,,,,,,,,
112,인천,2015-01-21,1.6,-1.6,5.7,,2.2,-2.3,75.3,5.2,1.4,4.86,0,,,,,,,,,,,
112,인천,2015-01-22,2.7,0.4,6.5,,3.3,-0.7,78.1,5.8,7.6,7.99,1.2,,,,,,,,,,,
112,인천,2015-01-23,1.3,-1.4,4.7,,2.3,-0.7,86.8,5.8,5.4,6.42,0.8,,,,,,,,,,,
112,인천,2015-01-24,3.7,1.9,7.7,,1.7,1,82.9,6.6,6.6,8.09,2,,,,,,,,,,,
112,인천,2015-01-25,3.4,1.8,5.1,4.9,2.7,2.2,92.8,7.2,0,1.3,0.9,1.614285714,-1.142857143,4.871428571,2.5,2.742857143,-1.085714286,82.57142857,5.728571429,5.371428571,6.371428571,0.714285714
112,인천,2015-01-26,3.2,0.7,6.3,0.6,3.8,2.3,94.3,7.3,2.7,5.41,2.8,,,,,,,,,,,
112,인천,2015-01-27,-4,-6.3,0.7,,5.5,-9.5,66,3.1,9.7,10.92,1.4,,,,,,,,,,,
112,인천,2015-01-28,-4.7,-8.8,-0.2,,3.6,-10.7,63,2.8,8.7,9.47,-0.3,,,,,,,,,,,
112,인천,2015-01-29,-1.7,-4.5,1.8,,2.5,-5.7,73.9,4,0.3,3.97,-0.2,,,,,,,,,,,
112,인천,2015-01-30,-3,-5.6,-0.2,,4.9,-8.4,66.5,3.3,8.5,10.35,-0.2,,,,,,,,,,,
