loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp,week_temp,week_l_temp,week_h_temp,week_rain_per_day,week_wind,week_dew,week_humidity,week_steam_pressure,week_sunshine_time,week_sunshine,week_ground_surface_temp
238,금산,2015-01-01,-6.1,-8.4,-2.7,0,2.3,-12.2,62.4,2.4,7.4,,-0.8,,,,,,,,,,,
238,금산,2015-01-02,-6.1,-9.8,-1.2,0.1,1.1,-10.1,74.8,2.9,3.8,,-1.2,,,,,,,,,,,
238,금산,2015-01-03,-5.1,-13.2,3.7,,0.5,-8.8,76.9,3.3,8.1,,-1.5,,,,,,,,,,,
238,금산,2015-01-04,0.2,-5.3,10,,0.7,-2.3,84.6,5.2,4.2,,-0.4,,,,,,,,,,,
238,금산,2015-01-05,1.7,-3.1,9.1,15,0.4,-0.4,88,6,2.1,,0.6,,,,,,,,,,,
238,금산,2015-01-06,0.4,-5.1,4.6,8.5,2.4,-7,61.1,4.1,8.7,,1.3,,,,,,,,,,,
238,금산,2015-01-07,-4,-8.1,1.2,,1.6,-13,51.6,2.3,7.8,,-0.8,,,,,,,,,,,
238,금산,2015-01-08,-4.1,-10.5,2.6,,0.9,-8.7,73.1,3.2,9,,-0.6,,,,,,,,,,,
238,금산,2015-01-09,-2.6,-8.5,1.9,,0.3,-4.6,86.5,4.4,0.3,,-0.7,,,,,,,,,,,
238,금산,2015-01-10,-0.3,-7.2,5.9,,0.8,-5.7,68.9,4,8.7,,-0.1,,,,,,,,,,,
238,금산,2015-01-11,-0.1,-4.4,4.6,1,1.9,-6.1,67.4,4,7.5,,0.3,-1.285714286,-6.7,4.271428571,8.166666667,1.185714286,-6.5,70.94285714,4,6.3,0,0
238,금산,2015-01-12,-3.5,-9.1,4.9,,0.4,-9.5,67.6,3,9.1,,-0.4,,,,,,,,,,,
238,금산,2015-01-13,-1.5,-9.1,7.6,,0.2,-6.2,73.5,3.9,5.8,,-0.7,,,,,,,,,,,
238,금산,2015-01-14,1.1,-1.3,5.1,,0.3,-1.8,81.1,5.4,0,,0.2,,,,,,,,,,,
238,금산,2015-01-15,0.4,-4.1,9.1,,0.4,-2.7,81.8,5,4.5,,0.9,,,,,,,,,,,
238,금산,2015-01-16,-0.3,-4.6,2.8,0.5,1.4,-2.7,84.5,5,0,,-0.1,,,,,,,,,,,
238,금산,2015-01-17,-2.2,-7.3,2.4,,2.4,-10.4,56.1,2.8,9,,0.3,,,,,,,,,,,
238,금산,2015-01-18,-1.7,-10.6,5.8,0.5,1.4,-6.4,73.1,4,7.6,,-0.3,-1.1,-6.585714286,5.385714286,0.5,0.928571429,-5.671428571,73.95714286,4.157142857,5.142857143,0,-0.014285714
238,금산,2015-01-19,1.8,-2,5.4,0.1,2.6,-3.3,69.1,4.8,2.7,,0.6,,,,,,,,,,,
238,금산,2015-01-20,-1,-7.2,7.3,,0.5,-5.8,72.8,4,8.5,,0.9,,,,,,,,,,,
238,금산,2015-01-21,0.9,-2.6,4.4,5,0.4,-1,88,5.8,0,,0.5,,,,,,,,,,,
238,금산,2015-01-22,1.7,0.4,4.1,0.5,0.7,0.9,95.1,6.5,0,,1.4,,,,,,,,,,,
238,금산,2015-01-23,0.4,-1.5,5.4,,0.8,-1.1,90.9,5.7,2.5,,2.9,,,,,,,,,,,
238,금산,2015-01-24,1.2,-2.6,8.2,,0.6,-1.7,83.1,5.4,4.6,,3,,,,,,,,,,,
238,금산,2015-01-25,2.3,-3.2,8.4,2,0.7,0,86.6,6.2,1,,2.7,1.042857143,-2.671428571,6.171428571,1.9,0.9,-1.714285714,83.65714286,5.485714286,2.757142857,0,1.714285714
238,금산,2015-01-26,4.6,2.6,7.3,2.5,0.7,3.9,95.5,8.1,0,,4.6,,,,,,,,,,,
238,금산,2015-01-27,-0.5,-6,3.2,,1.7,-6.1,67.3,4,6,,3.2,,,,,,,,,,,
238,금산,2015-01-28,-3.7,-8.3,3.6,,0.8,-9.2,68.5,3.1,8,,1.2,,,,,,,,,,,
238,금산,2015-01-29,-1.1,-5.2,1.7,1.5,0.4,-2.8,88.4,5,0,,-0.1,,,,,,,,,,,
238,금산,2015-01-30,-1.3,-5.5,2.4,0.4,1.9,-7.2,67.3,3.7,7.6,,1.5,,,,,,,,,,,
238,금산,2015-01-31,-4.1,-9.5,1.6,,1.2,-10.6,63.6,2.7,9.2,,-0.2,,,,,,,,,,,
238,금산,2015-02-01,-3.5,-10.5,5.1,,0.8,-10,67.4,2.9,9.2,,0,-1.371428571,-6.057142857,3.557142857,1.466666667,1.071428571,-6,74,4.214285714,5.714285714,0,1.457142857
238,금산,2015-02-02,-1.8,-7.2,7.1,,0.6,-7.8,68.8,3.4,6.8,,1,,,,,,,,,,,
238,금산,2015-02-03,-0.8,-7.3,7.3,,0.8,-7.2,66.3,3.6,5.2,,1.1,,,,,,,,,,,
238,금산,2015-02-04,-1.3,-6.6,4.2,0,0.9,-4.3,81.6,4.5,4.2,,0.5,,,,,,,,,,,
238,금산,2015-02-05,-0.3,-4.4,4.1,,1.4,-5,71.8,4.2,5,,1.2,,,,,,,,,,,
238,금산,2015-02-06,-0.5,-6.1,6.1,,0.9,-5.2,74.1,4.2,9.1,,2.1,,,,,,,,,,,
238,금산,2015-02-07,0.8,-4.3,5.1,,1.1,-3.2,75.8,4.8,1.5,,1.3,,,,,,,,,,,
238,금산,2015-02-08,-6,-9.2,2.6,,3.6,-15.3,49,2,9.4,,-0.1,-1.414285714,-6.442857143,5.214285714,0,1.328571429,-6.857142857,69.62857143,3.814285714,5.885714286,0,1.014285714
238,금산,2015-02-09,-5,-12.2,-0.4,,2.1,-12.4,58.9,2.5,7.8,,-0.9,,,,,,,,,,,
238,금산,2015-02-10,3.4,-1,7.8,,2.6,-3.7,60.6,4.7,6.8,,1.2,,,,,,,,,,,
238,금산,2015-02-11,5.4,1.6,9.2,0,2,-0.5,67.1,5.9,6.9,,2.8,,,,,,,,,,,
238,금산,2015-02-12,-0.4,-4.2,4.3,,2.7,-12,42.4,2.5,9.6,,2,,,,,,,,,,,
238,금산,2015-02-13,-2.4,-9.4,4.1,,1.6,-11,54.8,2.7,9.8,,0.5,,,,,,,,,,,
238,금산,2015-02-14,0.2,-7.5,8.2,,1.1,-3.9,75.6,4.7,7.8,,1.8,,,,,,,,,,,
238,금산,2015-02-15,4.6,-3.2,11.5,3,0.8,0.4,76.9,6.3,0,,3.2,0.828571429,-5.128571429,6.385714286,1.5,1.842857143,-6.157142857,62.32857143,4.185714286,6.957142857,0,1.514285714
238,금산,2015-02-16,4.4,3.8,5.3,16,1.1,3.6,94.8,7.9,0,,4.4,,,,,,,,,,,
238,금산,2015-02-17,2.7,0.9,5.1,0.1,2.2,-0.9,77.5,5.8,1.3,,4,,,,,,,,,,,
238,금산,2015-02-18,1.1,0.4,2.9,,1.4,-2.1,79.3,5.2,0,,2.5,,,,,,,,,,,
238,금산,2015-02-19,2.1,-2.5,8.1,,1,-3.5,69.1,4.8,6.8,,5.1,,,,,,,,,,,
238,금산,2015-02-20,3.5,-5.3,11.2,,0.7,-2.3,69.9,5.2,7.3,,5.2,,,,,,,,,,,
238,금산,2015-02-21,5.5,2.9,7,4,0.8,3.3,86.4,7.8,0,,5.6,,,,,,,,,,,
238,금산,2015-02-22,5.1,0.1,9,0.2,2.2,1.7,79.9,7.2,3.5,,7.4,3.485714286,0.042857143,6.942857143,5.075,1.342857143,-0.028571429,79.55714286,6.271428571,2.7,0,4.885714286
238,금산,2015-02-23,2.2,-1.4,7.9,,1.6,-4,65.1,4.6,5.8,,5.7,,,,,,,,,,,
238,금산,2015-02-24,2.2,-1.7,8.7,,1,-4.2,67.1,4.5,7.6,,5.3,,,,,,,,,,,
238,금산,2015-02-25,4.3,-2.1,11.7,,0.8,-4.5,59,4.5,2,,4.6,,,,,,,,,,,
238,금산,2015-02-26,2.2,-2.3,6.8,0.1,2.7,-7,55.3,4,6.4,,4.6,,,,,,,,,,,
238,금산,2015-02-27,-1.3,-4,3.4,,2.1,-12,46.8,2.5,8.7,,2.8,,,,,,,,,,,
238,금산,2015-02-28,0.2,-6.7,6.8,,0.8,-5.6,67.5,4.1,0.1,,1.7,,,,,,,,,,,
238,금산,2015-03-01,1.9,-0.2,5.6,1,1.8,-2.4,74.8,5.2,2.1,,3.3,1.671428571,-2.628571429,7.271428571,0.55,1.542857143,-5.671428571,62.22857143,4.2,4.671428571,0,4
238,금산,2015-03-02,2.1,-6.1,10.7,,0.9,-6.8,58.6,3.7,10.3,,4.6,,,,,,,,,,,
238,금산,2015-03-03,3.2,-0.4,7.7,1,1.8,-1.6,71.8,5.6,0.2,,4.6,,,,,,,,,,,
238,금산,2015-03-04,-1.1,-4.2,3.4,,3.6,-11.4,47,2.6,10.4,,3.1,,,,,,,,,,,
238,금산,2015-03-05,-1.1,-8.6,7.5,,1,-10.5,56.3,2.8,9,,3.2,,,,,,,,,,,
238,금산,2015-03-06,2,-6.6,11.4,,1.1,-6.5,59,3.8,10.2,,4.6,,,,,,,,,,,
238,금산,2015-03-07,3.4,-3.4,11.8,,1.1,-7.5,54.9,3.7,10.5,,5,,,,,,,,,,,
238,금산,2015-03-08,5.9,-5.5,16.3,,0.9,-6.4,48.8,3.8,8.1,,5.5,2.057142857,-4.971428571,9.828571429,1,1.485714286,-7.242857143,56.62857143,3.714285714,8.385714286,0,4.371428571
238,금산,2015-03-09,3.6,-4.7,10.3,,2.9,-9,42.1,3.4,9,,6.3,,,,,,,,,,,
238,금산,2015-03-10,-2.6,-6.1,1.7,,4,-15.3,39.9,2,11,,2.3,,,,,,,,,,,
238,금산,2015-03-11,1.4,-5.6,6.7,0,2.7,-7,55.5,3.7,6.1,,2.2,,,,,,,,,,,
238,금산,2015-03-12,2.4,-5.4,9.2,,1.9,-11.4,40.3,2.7,11,,4,,,,,,,,,,,
238,금산,2015-03-13,4.2,0.5,8.3,2.5,1.3,1.1,81.8,6.8,0.6,,4.7,,,,,,,,,,,
238,금산,2015-03-14,3.4,-2.8,11.5,,1,-5,63,4.3,6.8,,7.4,,,,,,,,,,,
238,금산,2015-03-15,5.1,-3.7,15.4,,0.9,-5.5,54.1,4.1,9.8,,6.7,2.5,-3.971428571,9.014285714,1.25,2.1,-7.442857143,53.81428571,3.857142857,7.757142857,0,4.8
238,금산,2015-03-16,8.2,-1.9,20.7,,0.8,-4.1,49.4,4.5,8.9,,8.3,,,,,,,,,,,
238,금산,2015-03-17,10.9,-0.1,21.1,,0.8,-1.7,47.8,5.5,3.7,,9,,,,,,,,,,,
238,금산,2015-03-18,8.7,7.2,10.4,38.5,1.3,6.6,87.9,9.8,0,,8.8,,,,,,,,,,,
238,금산,2015-03-19,13.1,6.5,21.1,0.1,1.1,7.6,72.8,10.4,10,,14.5,,,,,,,,,,,
238,금산,2015-03-20,13.2,8.1,21.4,,0.8,3.5,60.5,8.1,6.3,,13.4,,,,,,,,,,,
238,금산,2015-03-21,11.7,3.3,19.1,,1.4,-0.8,48.9,5.9,10.1,,12.4,,,,,,,,,,,
238,금산,2015-03-22,8.7,2.1,15.8,,2.2,-4.4,51.3,5,10.2,,9.9,10.64285714,3.6,18.51428571,19.3,1.2,0.957142857,59.8,7.028571429,7.028571429,0,10.9
238,금산,2015-03-23,3.8,-3.2,10.7,,2.2,-8.5,44.6,3.3,11.3,,6.9,,,,,,,,,,,
238,금산,2015-03-24,3.7,-4.5,11.9,,1.2,-7.7,51.4,3.5,11.2,,6.8,,,,,,,,,,,
238,금산,2015-03-25,4.8,-5.3,14.7,,1.1,-8.9,46.9,3.2,11.3,,7.2,,,,,,,,,,,
238,금산,2015-03-26,6.5,-4.3,16.5,,1.1,-7,45.9,3.7,11,,8.5,,,,,,,,,,,
238,금산,2015-03-27,7.9,-2.6,17,,0.9,-4.6,49.5,4.4,8,,8.4,,,,,,,,,,,
