loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp,week_temp,week_l_temp,week_h_temp,week_rain_per_day,week_wind,week_dew,week_humidity,week_steam_pressure,week_sunshine_time,week_sunshine,week_ground_surface_temp
236,何咯,2015-01-01,-4.9,-7.2,-2.3,0.2,2.6,-11.3,61.8,2.6,7.5,,-0.2,,,,,,,,,,,
236,何咯,2015-01-02,-5.9,-12,-0.4,2,1,-8.8,81.3,3.2,4.2,,-0.5,,,,,,,,,,,
236,何咯,2015-01-03,-4.9,-14.2,3.2,,0.4,-8.2,79.3,3.5,7.2,,-0.2,,,,,,,,,,,
236,何咯,2015-01-04,0.7,-3.8,10,,0.5,-1.6,86.1,5.5,5,,2.3,,,,,,,,,,,
236,何咯,2015-01-05,2.1,-2.8,6.9,12,0.8,1.2,94.1,6.7,1,,3.2,,,,,,,,,,,
236,何咯,2015-01-06,0.5,-4.4,5,6,2.9,-6.3,62.9,4.2,8.4,,2.9,,,,,,,,,,,
236,何咯,2015-01-07,-4,-8.3,2.1,,1.5,-11.3,59.6,2.6,8.3,,-1.2,,,,,,,,,,,
236,何咯,2015-01-08,-3.8,-9.7,4.2,,0.7,-7.7,76.8,3.5,8.8,,-1.4,,,,,,,,,,,
236,何咯,2015-01-09,-2.3,-6.9,3.1,,0.4,-3.8,89.6,4.7,0.8,,-0.8,,,,,,,,,,,
236,何咯,2015-01-10,-1.4,-7.9,7.3,,0.8,-4.5,82,4.4,8.1,,0,,,,,,,,,,,
236,何咯,2015-01-11,-0.3,-4.2,5.3,0.1,1.7,-5.8,70.1,4.1,8.3,,0.4,-1.314285714,-6.314285714,4.842857143,6.033333333,1.257142857,-5.457142857,76.44285714,4.314285714,6.242857143,0,0.442857143
236,何咯,2015-01-12,-3,-8.1,4.3,,0.7,-10.3,60.8,2.8,8.8,,-1.1,,,,,,,,,,,
236,何咯,2015-01-13,-0.7,-7.6,7.3,,0.6,-5.4,72.5,4.2,5.1,,-0.7,,,,,,,,,,,
236,何咯,2015-01-14,2.1,-1,5.5,,0.9,-2.6,71.9,5.1,0,,0.6,,,,,,,,,,,
236,何咯,2015-01-15,1.4,-2.8,8.5,,0.7,-2.7,76.4,5,3.9,,1.8,,,,,,,,,,,
236,何咯,2015-01-16,0.6,-4.1,3.7,0.4,1.3,-2,84.1,5.3,0,,-0.4,,,,,,,,,,,
236,何咯,2015-01-17,-1.5,-6.3,2.7,,2.6,-9.5,56.5,3,8.9,,0.6,,,,,,,,,,,
236,何咯,2015-01-18,-1.4,-8.8,4.5,5,1.2,-4.9,78.9,4.4,5.8,,-1,-0.357142857,-5.528571429,5.214285714,2.7,1.142857143,-5.342857143,71.58571429,4.257142857,4.642857143,0,-0.028571429
236,何咯,2015-01-19,1.7,-3.3,5.8,0.2,1.8,-2.7,73,5.1,2.6,,0.9,,,,,,,,,,,
236,何咯,2015-01-20,-0.7,-6.1,6.3,,0.8,-4.6,76.6,4.3,7,,1.1,,,,,,,,,,,
236,何咯,2015-01-21,1.8,-2,5.4,4.5,0.9,-0.7,84.5,5.9,0.1,,1.4,,,,,,,,,,,
236,何咯,2015-01-22,2.9,-0.9,7.7,1,1,0.4,85.4,6.3,2.8,,3.3,,,,,,,,,,,
236,何咯,2015-01-23,-0.2,-3.4,6.4,,0.6,-2.1,89.1,5.3,3.3,,2.3,,,,,,,,,,,
236,何咯,2015-01-24,1.8,-2.4,8.7,,0.6,-1.1,82.6,5.7,3.8,,2.9,,,,,,,,,,,
