loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp,week_temp,week_l_temp,week_h_temp,week_rain_per_day,week_wind,week_dew,week_humidity,week_steam_pressure,week_sunshine_time,week_sunshine,week_ground_surface_temp
177,全己,2015-11-04,9.8,1.5,19.9,,0.7,5.6,80.8,9.2,8.9,13.45,10.2,,,,,,,,,,,
177,全己,2015-11-05,11.4,5.9,19,,0.8,8.2,83.4,10.9,7.3,10.5,11.6,,,,,,,,,,,
177,全己,2015-11-06,13,5.4,21.5,2.2,1.4,9.2,81.4,11.8,3.4,7.58,11.9,,,,,,,,,,,
177,全己,2015-11-07,12.6,11.5,13.6,56,1.4,12.1,97.9,14.2,0,0.81,12.6,,,,,,,,,,,
177,全己,2015-11-08,12.9,12.5,13.3,12.6,1.5,12.5,98.1,14.5,0,1.45,13.2,,,,,,,,,,,
177,全己,2015-11-09,12.9,11.4,14.8,0.1,1.2,11.1,89.6,13.2,1.3,4.96,13.2,,,,,,,,,,,
177,全己,2015-11-10,9.9,5.3,13,0,0.6,7.9,88.8,10.7,0.1,3.65,11.2,,,,,,,,,,,
177,全己,2015-11-11,9.8,4.8,15.2,,0.7,8.1,90.5,10.9,3.1,8.31,10.8,,,,,,,,,,,
177,全己,2015-11-12,12.2,4.8,20.7,,1.1,9.3,84.8,11.9,7.5,11.8,12.1,,,,,,,,,,,
177,全己,2015-11-13,11.3,10.4,13.6,30.3,2.3,10.2,93.6,12.5,0,1.72,11.2,,,,,,,,,,,
177,全己,2015-11-14,13.4,11,15.8,2.4,0.8,12.4,94.5,14.5,0.5,4.33,13.2,,,,,,,,,,,
177,全己,2015-11-15,13.6,10.1,18.9,,0.8,11.7,89.6,13.7,4.1,7.74,13.5,11.77142857,8.6,15.2,9.08,1.171428571,10.21428571,91.41428571,12.6,1.785714286,5.174285714,12.12857143
177,全己,2015-11-16,12.2,8.3,15.7,19,0.7,11.3,94.8,13.4,0.3,4.04,12.3,,,,,,,,,,,
177,全己,2015-11-17,13.6,10.4,17.5,4.4,1.6,11.7,89.9,13.8,5,7.94,14.2,,,,,,,,,,,
177,全己,2015-11-18,11.4,9.1,13.6,5.7,2,10.5,94.5,12.8,0,1.05,11.7,,,,,,,,,,,
177,全己,2015-11-19,9.7,7.7,11.5,0.5,1,8.9,95.3,11.4,0,2.83,10.5,,,,,,,,,,,
177,全己,2015-11-20,9.8,6.2,14.2,0,0.6,8.2,91.1,10.9,2.3,5.65,11.3,,,,,,,,,,,
177,全己,2015-11-21,7.7,4.3,13,,1,5,84.5,8.7,3.1,7.36,8.5,,,,,,,,,,,
177,全己,2015-11-22,9.3,2.4,14.2,3.1,1.4,6.6,84.5,9.9,4.6,8.09,8.9,11.14285714,8.014285714,14.91428571,5.92,1.1,9.614285714,91.38571429,12.1,2.114285714,5.23,11.71428571
177,全己,2015-11-23,10.3,9.2,11.1,10.2,1.9,9.2,93.3,11.6,0,2.52,10.9,,,,,,,,,,,
