월,연중주수,채집장소,얼룩날개모기류,이나토미집모기,반점날개집모기,동양집모기,빨간집모기,작은빨간집모기,줄다리집모기,노랑늪모기,반점날개늪모기,흰줄숲모기,금빛숲모기,한국숲모기,토고숲모기,등줄숲모기,큰검정들모기,금빛어깨숲모기
4,14주,인천광역시 계양구 선주지동,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 부평구 부평동,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 서구 연희동,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 서구 백석동,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 중구 운남동 (영종도),0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 강화 송해면 (숭뢰리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 강화 송해면 (솔정리),1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 강화 선원면 (금월리),0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 강화 삼산면 (석모리),7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 강화 교동면 (대룡리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 강화 강화읍 (대산리),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,14주,인천광역시 강화 강화읍 (월곳리),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 계양구 선주지동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 부평구 부평동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 서구 연희동,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 서구 백석동,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 중구 운남동 (영종도),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 강화 송해면 (숭뢰리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 강화 송해면 (솔정리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 강화 선원면 (금월리),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 강화 교동면 (대룡리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 강화 강화읍 (대산리),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,15주,인천광역시 강화 강화읍 (월곳리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 계양구 선주지동,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 부평구 부평동,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 서구 연희동,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 서구 백석동,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 중구 운남동 (영종도),0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 강화 송해면 (숭뢰리),0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 강화 송해면 (솔정리),0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 강화 선원면 (금월리),0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 강화 삼산면 (석모리),2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 강화 교동면 (대룡리),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,16주,인천광역시 강화 강화읍 (대산리),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,16주,인천광역시 강화 강화읍 (월곳리),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17주,인천광역시 계양구 선주지동,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
4,17주,인천광역시 부평구 부평동,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
4,17주,인천광역시 서구 연희동,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0
4,17주,인천광역시 서구 백석동,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
4,17주,인천광역시 중구 운남동 (영종도),0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
4,17주,인천광역시 강화 송해면 (숭뢰리),0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
4,17주,인천광역시 강화 송해면 (솔정리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17주,인천광역시 강화 선원면 (금월리),0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
4,17주,인천광역시 강화 삼산면 (석모리),1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
4,17주,인천광역시 강화 교동면 (대룡리),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17주,인천광역시 강화 강화읍 (대산리),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,17주,인천광역시 강화 강화읍 (월곳리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18주,인천광역시 계양구 선주지동,0,0,0,0,21,0,0,0,0,0,4,1,0,0,0,0
5,18주,인천광역시 부평구 부평동,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
5,18주,인천광역시 서구 연희동,0,0,0,0,17,0,0,0,0,0,0,0,0,10,0,0
5,18주,인천광역시 서구 백석동,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,0
5,18주,인천광역시 중구 운남동 (영종도),0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0
5,18주,인천광역시 강화 송해면 (숭뢰리),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5,18주,인천광역시 강화 송해면 (솔정리),0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0
5,18주,인천광역시 강화 선원면 (금월리),0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
5,18주,인천광역시 강화 삼산면 (석모리),1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
5,18주,인천광역시 강화 교동면 (대룡리),0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
5,18주,인천광역시 강화 강화읍 (대산리),0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5,18주,인천광역시 강화 강화읍 (월곳리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19주,인천광역시 계양구 선주지동,0,0,0,0,75,0,2,0,0,0,36,2,0,0,0,0
5,19주,인천광역시 부평구 부평동,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0
5,19주,인천광역시 서구 연희동,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
5,19주,인천광역시 서구 백석동,0,0,0,0,39,0,0,0,0,0,2,2,0,12,0,0
5,19주,인천광역시 중구 운남동 (영종도),0,0,0,0,5,0,0,0,0,0,2,2,0,7,0,0
5,19주,인천광역시 강화 송해면 (숭뢰리),0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0
5,19주,인천광역시 강화 송해면 (솔정리),0,0,0,0,11,0,0,0,0,0,30,1,0,0,0,0
5,19주,인천광역시 강화 선원면 (금월리),0,0,0,0,8,0,0,0,0,0,29,1,0,0,0,0
5,19주,인천광역시 강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19주,인천광역시 강화 교동면 (대룡리),0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
5,19주,인천광역시 강화 강화읍 (대산리),0,0,0,0,19,0,0,0,0,0,14,1,0,0,0,0
5,19주,인천광역시 강화 강화읍 (월곳리),0,0,0,0,3,0,0,0,0,0,50,1,0,0,0,0
5,20주,인천광역시 계양구 선주지동,0,0,0,0,58,0,0,0,0,0,72,4,0,3,0,0
5,20주,인천광역시 부평구 부평동,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0
5,20주,인천광역시 서구 연희동,0,0,0,0,28,0,0,0,0,0,4,2,0,0,0,0
5,20주,인천광역시 서구 백석동,6,0,1,1,83,0,0,0,0,0,10,9,0,31,0,0
5,20주,인천광역시 중구 운남동 (영종도),1,0,0,0,6,0,0,0,0,0,40,5,0,4,0,0
5,20주,인천광역시 강화 송해면 (숭뢰리),1,1,0,0,2,0,0,0,0,0,314,3,0,0,0,0
5,20주,인천광역시 강화 송해면 (솔정리),0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0
5,20주,인천광역시 강화 선원면 (금월리),0,0,0,0,14,0,0,0,0,0,494,0,0,0,1,0
5,20주,인천광역시 강화 삼산면 (석모리),1,1,0,1,4,0,1,0,0,0,40,1,0,0,0,0
5,20주,인천광역시 강화 교동면 (대룡리),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,20주,인천광역시 강화 강화읍 (대산리),0,0,0,0,1,0,0,0,0,0,462,4,0,0,0,0
5,20주,인천광역시 강화 강화읍 (월곳리),0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0
