월,주,일,연중주수,장소,얼룩날개모기류(Anopheles spp.),기타모기류(Culicidae spp.),"기타모기류(이나토미집모기,Cx.ina)","기타모기류(반점날개집모기, Cx.bit.)","기타모기류(동양집모기, Cx.ori.)","기타모기류(빨간집모기, Cx.pip.)","기타모기류(작은빨간집모기, Cx.tri.)","기타모기류(줄다리집모기, Cx.vag)","기타모기류(노랑늪모기, Coq.och)","기타모기류(반점날개늪모기, Man.uni)","기타모기류(흰줄숲모기, Ae.alb.)","기타모기류(금빛숲모기, Ae.vex.)","기타모기류(한국숲모기, Oc.kor.)","기타모기류(토고숲모기, Oc.tog.)","기타모기류(등줄숲모기, Oc.dor.)","기타모기류(큰검정들모기, Ar.sub.)","기타모기류(금빛어깨숲모기, Ae.lin.)"
4,2주,6~12,15주,계양구 선주지동,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주,부평구 부평동,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주, 서구 연희동,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주, 서구 백석동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주,중구 운남동 (영종도),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주,강화 송해면 (숭뢰리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주,강화 송해면 (솔정리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주,강화 선원면 (금월리),0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주,강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주,강화 교동면 (대룡리),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주,강화 강화읍 (대산리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2주,6~12,15주,강화 강화읍 (월곳리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주,계양구 선주지동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
