"측정년월","기간(주)","작은빨간집모기","빨간집모기","동양집모기","중국얼룩날개모기","큰검정들모기","한국숲모기","흰줄숲모기","금빛숲모기","토고숲모기","지점명"
"202106","3","48","11","0","21","0","4.5","0","70","20.5","부산지역축사"
"202106","2","25.5","2","0","31.5","0.5","2","0","16.5","4.5","부산지역축사"
"202106","1","13","1.5","0.5","5.5","0","4","0.5","48","14","부산지역축사"
"202105","5","1","2.5","0","1","0","0.5","0","22","3","부산지역축사"
"202105","4","1.5","4.5","0","2.5","0","0","0","5.5","1.5","부산지역축사"
"202105","3","7.5","6","0","2.5","0","0","0","4.5","2","부산지역축사"
"202105","2","2","0.5","0","2","0","0","0","15","0","부산지역축사"
"202105","1","1","1","0","1","0","0","0","11","0.5","부산지역축사"
"202104","4","4","0.5","0","2.5","0","2","0","30","0","부산지역축사"
"202104","3","4.5","1","0","0","0","0.5","0","0.5","0","부산지역축사"
"202104","2","26","2","0","1.5","0","0","0","0.5","0","부산지역축사"
"202104","1","3.5","0.5","0","4","0","0","0","0","0.5","부산지역축사"
"202103","5","3.5","0.5","0","2.5","0","0","0","0.5","0","부산지역축사"
"202011","4","0","0","0","0","0","0","0","0","0","부산지역축사"
"202011","3","0","0","0","0","0","0","0","0","0","부산지역축사"
"202011","2","0","0","0","0","0","0","0","0","0","부산지역축사"
"202011","1","0","0","0","0","0","0","0","0","0","부산지역축사"
"202010","4","1.5","0","0","0.5","0","0","0","3.5","0","부산지역축사"
"202010","3","7.5","2.5","0","2.5","0","0","0","19.5","2.5","부산지역축사"
"202010","2","30","1.5","0","1","0.5","0","0","50.5","1","부산지역축사"
"202010","1","10.5","0","0","2","2.5","0","0","66","1","부산지역축사"
"202009","4","27.5","12","0","4.5","0","0","0","95.5","0.5","부산지역축사"
"202009","3","81","12","0","22.5","1","0","0","307.5","0","부산지역축사"
"202009","2","194.5","15.5","0","54.5","3.5","0.5","0.5","242.5","0.5","부산지역축사"
"202009","1","150.5","8","0","95.5","1.5","0","0","28.5","1.5","부산지역축사"
"202008","5","81","3","0","58","1","0","0","32.5","3","부산지역축사"
"202008","4","145","3","0","112","2.5","0","0","222","6","부산지역축사"
"202008","3","57","14","0","50","0","0.5","0.5","92","0","부산지역축사"
"202008","2","59","26.5","0","79.5","6.5","0.5","1.5","12","5","부산지역축사"
"202008","1","96.5","2","0","32.5","0.5","0","0.5","84.5","1.5","부산지역축사"
"202007","4","90","4.5","0","74.5","3","0.5","0","45","7","부산지역축사"
"202007","3","54.5","11.5","0","57.5","1.5","1","1","84","2.5","부산지역축사"
"202007","2","70.5","23","0","28","0","1.5","0","4","4.5","부산지역축사"
"202007","1","104.5","26.5","0","50.5","1","1","0.5","41.5","2.5","부산지역축사"
"202006","5","172","16.5","0","220.5","0","0","0","23.5","4.5","부산지역축사"
"202006","4","203.5","36","0","249.5","0","0.5","0","118.5","5.5","부산지역축사"
"202006","3","71.5","13.5","0","120.5","0","1.5","0","12.5","2","부산지역축사"
"202006","2","12.5","1.5","0","12","0.5","2.5","1","6.5","3","부산지역축사"
"202006","1","3","1","0","6.5","0.5","0.5","0","17.5","1","부산지역축사"
"202005","4","1","0.5","0","0.5","0","0","0","42.5","3.5","부산지역축사"
"202005","3","2.5","1.5","0.5","0","0.5","0","0","15.5","0.5","부산지역축사"
"202005","2","5","3.5","0","2","0","0","0","105.5","0","부산지역축사"
"202005","1","0.5","1","0","0.5","0","0","0","2.5","0","부산지역축사"
"202004","4","1","8.5","0","0.5","0","0","0","0","0","부산지역축사"
"202004","3","2.5","1","0","0.5","0","0","0","0","0","부산지역축사"
"202004","2","2","1.5","0","0.5","0","0","0","0","0","부산지역축사"
"202004","1","1","1.5","0","1.5","0","0","0","0","0","부산지역축사"
"201911","4","0","0","0","0","0","0","0","0","0","부산지역축사"
"201911","3","0","0","0","0.5","0","0","0","0","0","부산지역축사"
"201911","2","0","0","0","0","0","0.5","0","1.5","0","부산지역축사"
"201911","1","1","0","0","0.5","0","0","0","1","0","부산지역축사"
"201910","5","4.5","1","0","0.5","0","0","0","6.5","0","부산지역축사"
"201910","4","19.5","0.5","0","3.5","0","0","0","35.5","1.5","부산지역축사"
"201910","3","44","1","0","4","0.5","0","0","29.5","0.5","부산지역축사"
"201910","2","174","1","0","13","0","0","0","95","0","부산지역축사"
"201910","1","361.5","42","0","17.5","0.5","0","0","120.5","3","부산지역축사"
"201909","4","229","6","0","51.5","1","0","0","187.5","1.5","부산지역축사"
"201909","3","204","4.5","0","31.5","0","0","0","179.5","1.5","부산지역축사"
"201909","2","164.5","2.5","0","57","2.5","1","0","288.5","3","부산지역축사"
