date,red_mosquito,kor_mosquito,gold_mosquito,black_mosquito,loc_num,loc_name,temp,l_temp,h_temp,rain_per_day,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp,week_temp,week_l_temp,week_h_temp,week_rain_per_day,week_wind,week_dew,week_humidity,week_steam_pressure,week_sunshine_time,week_sunshine,week_ground_surface_temp
2015-04-19,17,0,1,0,108,서울,14.5,11.2,17.3,12,3.7,8.8,74.8,11.9,0,5.15,15.1,11.44285714,6.7,16.35714286,6.166666667,3.485714286,3.028571429,62.48571429,7.971428571,5.3,12.53,12.88571429
2015-04-26,19,5,5,0,108,서울,17.3,9.9,24.4,,3.3,1.5,37.6,7.5,11.7,20.92,19.7,14.82857143,9.257142857,21.24285714,2.75,3.114285714,1.371428571,45.22857143,7.128571429,10.6,19.75714286,16.85714286
2015-05-03,13,4,1,0,108,서울,18.3,17.1,19.6,3.5,2.1,16.6,90.4,18.9,0.3,5.26,19.7,19.57142857,14.95714286,24.47142857,1.875,2.385714286,10.6,60.72857143,13.37142857,7.628571429,15.88428571,22.05714286
2015-05-10,20,13,2,0,108,서울,19.1,13.5,25.9,,2.3,4,39.6,8.2,11.9,23.43,25.9,16.51428571,11.28571429,22.65714286,0,2.914285714,3.057142857,44.94285714,8.114285714,9.642857143,20.55142857,22.21428571
2015-05-17,65,22,1,0,108,서울,18.6,11.7,25.2,,2.2,2.4,40.4,7.7,13,21.24,22.6,17.88571429,13.05714286,23.38571429,7.833333333,3.7,8.571428571,58.77142857,11.71428571,8.5,18.01285714,21.05714286
2015-05-24,88,27,1,0,108,서울,21,14,28.5,,2.4,4.8,37.3,8.6,13.5,25.64,28.9,18.44285714,13.02857143,24.32857143,1,3.057142857,7.3,53.42857143,10.5,9.571428571,20.02285714,23.65714286
2015-05-31,80,23,3,0,108,서울,22.1,15.3,30.4,,2.2,10.1,52.8,12.7,12.5,23.66,29.7,22.21428571,15.77142857,29.44285714,0.4,2.457142857,8.157142857,46.08571429,11.27142857,11.02857143,21.45857143,28.84285714
2015-06-07,134,8,2,0,108,서울,23.4,18.7,31.5,,2.3,10.5,46.8,12.8,8.2,20.45,30.2,22.45714286,17.24285714,28.8,1,2.571428571,8.4,44.24285714,11.3,9.585714286,19.65666667,28.57142857
2015-06-14,213,20,9,0,108,서울,22.8,17.8,27.7,15.5,2.7,16.6,70.3,19,8.5,19.52,26.6,23.65714286,18.94285714,29.92857143,6,2.842857143,14.98571429,61.48571429,17.25714286,8.557142857,18.32285714,28.41428571
2015-06-21,244,4,12,0,108,서울,22.4,15.6,29.6,,2,15.6,69.1,17.8,12.8,23.21,25.5,23.41428571,18.85714286,29.38571429,19,2.371428571,16.7,68.8,19.08571429,8.142857143,17.22571429,25.52857143
2015-06-28,335,31,9,0,108,서울,25.4,21,31.1,,2.6,17.3,61.8,19.7,13,23.32,28.3,24.4,19.91428571,29.61428571,7.25,2.485714286,16.4,62.97142857,18.7,8.557142857,18.92142857,26.74285714
2015-07-05,717,33,13,0,108,서울,24.2,20.1,29.6,,2.3,14.9,57.4,16.9,9.7,18.23,27.7,24.15714286,20.28571429,29.25714286,1,2.828571429,15.94285714,62.62857143,18.27142857,9.814285714,19.46,28.12857143
2015-07-12,807,29,29,0,108,서울,24.8,24,28,29,4,23.7,94.1,29.3,0,4.84,25.9,26.45714286,22.52857143,31.22857143,9.833333333,2.728571429,18.62857143,64.68571429,21.87142857,5.685714286,14.64714286,30
2015-07-19,872,17,19,0,108,서울,25.1,21.3,29.8,5,1.8,20.5,77.4,24.1,3.4,12.69,26.2,24.97142857,21.31428571,29.32857143,5.166666667,3.457142857,17.61428571,66.28571429,20.61428571,6.485714286,14.96571429,26.82857143
2015-07-26,513,13,37,0,108,서울,26,23.5,30,40.5,2.6,23.1,85.5,28.3,4.3,14.11,25.4,26.4,24.24285714,29.48571429,29.16666667,2.242857143,23.22857143,84.05714286,28.51428571,1.542857143,7.86,26.75714286
2015-08-02,763,48,62,0,108,서울,26.5,24.1,29.2,16.5,2.7,23.5,84.3,28.9,1.4,7.69,26.5,27.4,25.08571429,30.9,5.5,2.8,23.15714286,78.72857143,28.32857143,4.614285714,11.43428571,27.65714286
2015-08-09,467,32,12,0,108,서울,26.7,23.3,31,,2.1,21.4,74.4,25.5,9.6,16.75,28.4,27.92857143,25,32.54285714,4.65,2.8,21.98571429,71.58571429,26.44285714,7.3,14.76,29.4
2015-08-16,618,58,9,0,108,서울,25.8,20.7,31.2,29,2,20.6,74.9,24.4,1.7,9.39,29.3,26.77142857,22.98571429,31.58571429,9.7,2.085714286,20.54285714,70.5,24.28571429,7.042857143,15.06142857,29.52857143
2015-08-23,505,24,20,1,108,서울,26.3,20.9,31.7,,1.7,18.9,65.5,21.8,9.7,17.77,28.2,26.24285714,22.8,30.5,0.725,2.057142857,19.64285714,68.68571429,22.92857143,5.985714286,13.45714286,27.18571429
2015-08-30,211,38,30,0,108,서울,24.9,19.9,31,0,1.6,17.3,65.9,19.9,10.6,18.09,29.4,23.87142857,20.07142857,28.57142857,1.16,2.571428571,16.82857143,66.8,19.27142857,7.028571429,14.01571429,26.05714286
2015-09-06,183,17,14,0,108,서울,22.2,19.3,26.2,,3.7,13.9,60.4,15.9,6.5,14.4,22.8,24.07142857,20.67142857,28.32857143,7.833333333,2.528571429,17.47142857,68.41428571,20.05714286,6.5,13.20285714,25.74285714
2015-09-13,203,32,4,0,108,서울,20.2,15.2,26,,2.6,9.8,54.1,12.2,11.9,20.08,23.9,21.5,16.11428571,27.21428571,2.5,2.5,11.5,56.08571429,13.88571429,9.7,17.33,24.42857143
2015-09-20,150,18,7,0,108,서울,22.1,17.9,28.3,,2,15.6,69,17.7,7.7,13.58,24.7,22.02857143,16.58571429,28.18571429,0,2.314285714,11.65714286,54.41428571,13.91428571,10.5,17.39285714,25.67142857
2015-09-27,190,12,13,0,108,서울,21.9,14.2,29.8,,1.9,6.7,39.4,9.8,11.2,17.46,24.6,22.8,17.44285714,29.24285714,0,1.871428571,11.95714286,53.6,14.22857143,9.328571429,14.48,25.51428571
2015-10-04,455,7,3,0,108,서울,16.6,11.2,22.4,,1.8,1.9,38.9,7.2,8.9,12.36,17.1,19.05714286,13.51428571,24.4,17.5,2.771428571,6.928571429,48.68571429,10.45714286,6.9,11.73285714,20.47142857
2015-10-11,285,1,1,0,108,서울,10.8,8.1,14.4,3.5,2.4,5.8,72.6,9.4,1.5,5.97,12.6,16.6,12.02857143,22.3,3.5,2.257142857,7.971428571,60.4,11.08571429,7.528571429,12.12,17.71428571
2015-10-18,376,2,9,0,108,서울,17.9,12.4,24.2,,1.3,10.7,65.1,12.9,9,11.68,17.6,16.62857143,11,23.54285714,0,1.914285714,9.157142857,64.35714286,11.85714286,9.5,13.10142857,16.68571429
2015-10-25,283,2,2,0,108,서울,16.3,12.1,22.8,,2.1,5.7,51,9.1,8.6,12.95,15.9,17.57142857,13.98571429,23,10.5,2.057142857,10.47142857,65.52857143,12.88571429,6.485714286,10.17428571,18.07142857
2015-11-01,207,0,0,0,108,서울,7,1.3,12.6,,1.6,-3.6,48.4,4.7,4.7,8.35,8.1,9.071428571,4.657142857,14.34285714,9.666666667,2.4,-0.742857143,52.6,6.4,7.171428571,10.80857143,10.65714286
2015-11-08,144,0,0,0,108,서울,11.1,10.3,11.8,10.5,5.2,9.5,90.6,11.9,0,2.05,11.7,11.87142857,8.042857143,16.51428571,13.16666667,3.171428571,6.271428571,71.42857143,9.671428571,5.485714286,7.517142857,11.41428571
2015-11-15,138,0,0,0,108,서울,13.4,10.6,17.2,,1.8,10.6,84.5,12.8,5.4,8.5,13.4,12.08571429,9.485714286,15.54285714,9.833333333,2.214285714,8.657142857,81.3,11.32857143,3.428571429,6.048571429,12.07142857
2016-04-17,7,0,0,0,108,서울,10.8,8.3,14.5,20.5,4.7,4.3,66.8,8.6,6.9,13.8,14.2,13.61428571,8.985714286,19.58571429,15,2.742857143,4.385714286,57.41428571,8.7,7.757142857,15.18428571,16.44285714
2016-04-24,40,6,0,0,108,서울,15.5,8.1,23.7,,1.9,0.1,39.6,6.3,11.4,22.59,21,13.35714286,8.571428571,19.67142857,4.75,2.4,4.985714286,62.45714286,9.171428571,6.828571429,15.30142857,16.74285714
2016-05-01,35,7,1,0,108,서울,18.8,12.2,26,,2.2,4,40.5,8.4,6.8,17.07,20.2,17.65714286,11.87142857,23.94285714,0.3,2.4,2.6,38.48571429,7.514285714,7.3,16.58285714,20.32857143
2016-05-08,109,15,3,0,108,서울,19.4,11.6,26.8,,2.1,5.5,44.8,9.2,11.5,23.51,20.8,17.25714286,11.58571429,23.07142857,15.125,2.942857143,8.814285714,63.2,11.84285714,7.871428571,16.19285714,18.95714286
2016-05-15,99,18,9,0,108,서울,17.4,12.3,24.2,45,2.7,12,73.9,14.3,4.5,12.53,20.1,17.87142857,13.05714286,23.92857143,14.75,2.3,9.185714286,60.95714286,11.78571429,8.3,18.78857143,21.74285714
2016-05-22,105,28,9,0,108,서울,24.7,17.6,31.7,,1.9,7.5,35,10.4,11.8,24.63,30.8,22.08571429,14.81428571,29.08571429,2.5,2.042857143,5.785714286,39.04285714,9.4,12.71428571,24.58714286,27.02857143
2016-05-29,165,40,13,0,108,서울,21.5,17.2,27.6,,2.3,12,56.1,14.1,8.7,20.67,27.6,20.47142857,16.52857143,25.88571429,19.25,2.185714286,12.35714286,62.71428571,14.47142857,6.671428571,16.27571429,23.74285714
2016-06-05,294,26,8,0,108,서울,24.7,17.3,32.2,,1.7,11.5,47.3,13.7,11.8,24.43,33.7,22.61428571,17.38571429,28.81428571,0,2.128571429,10.77142857,50.31428571,13.08571429,11.02857143,22.12857143,29.75714286
2016-06-12,428,32,1,0,108,서울,23.5,19.9,26.7,1.5,2.1,19.6,79.4,22.8,3.9,10.48,25.4,23.25714286,19.62857143,28.25714286,1.15,2.042857143,15.9,65.51428571,18.3,6.8,15.47285714,28.4
2016-06-19,794,60,4,0,108,서울,24.1,20.3,29.3,0,1.9,16.8,64.5,19.2,8.8,18.36,30,23.07142857,19.15714286,28.11428571,3.875,2.314285714,16.38571429,67.7,18.7,8.457142857,17.63285714,27.5
2016-06-26,1016,41,11,0,108,서울,24.4,19.4,30.3,,2.7,15.1,58.4,17.2,13.4,25.57,30.5,24.28571429,20.11428571,29.18571429,11.36666667,2.142857143,17.32857143,67.07142857,19.95714286,6.785714286,15.90142857,27.28571429
2016-07-03,635,19,0,0,108,서울,23.5,21.1,26.8,,1.6,17.6,70.4,20.1,3.8,12.08,23.6,24.28571429,21.12857143,28.2,37.56666667,2.1,17.97142857,70.14285714,20.9,4.385714286,12.16571429,26.48571429
2016-07-10,1401,86,25,1,108,서울,27.9,23.2,33.1,,1.8,20.2,64.4,23.7,8.6,20.7,34.5,24.95714286,21.2,28.92857143,32.5,2.085714286,19.55714286,74.28571429,22.85714286,6.742857143,15.31714286,27.61428571
2016-07-17,1030,73,32,0,108,서울,21.7,20.4,23.1,2.5,2.6,18.5,82.9,21.3,0,5,22.5,25.31428571,22.57142857,28.9,7.657142857,2.385714286,19.47142857,72.07142857,22.74285714,4.428571429,12.04571429,28.02857143
2016-07-24,1151,110,25,0,108,서울,28,27,30.1,0.5,2,23.7,77.9,29.3,0.5,6.61,28.1,27.74285714,24.28571429,31.67142857,0.4,1.885714286,21.01428571,68.1,24.98571429,5.728571429,14.27428571,29.72857143
2016-07-31,777,72,6,0,108,서울,28.9,26.6,32.8,0.2,1.6,23.1,72.1,28.3,7.6,16.33,30.5,28.02857143,25.97142857,30.98571429,12.18,2.257142857,22.75714286,74.17142857,27.74285714,4.857142857,11.86714286,29.81428571
2016-08-07,838,84,12,0,108,서울,30.6,27,35,,1.9,20.5,56,24.1,11.9,20.68,38.3,29.67142857,25.84285714,34.05714286,2,1.628571429,21.8,64.34285714,26.17142857,8.857142857,16.08285714,34.04285714
2016-08-14,441,37,7,0,108,서울,28.9,27.3,31.8,0.2,1.9,23.7,74,29.3,4.8,11.38,33.2,29.88571429,26.5,34.72857143,0.6,1.985714286,22.78571429,67.42857143,27.8,9.385714286,17.37571429,36.17142857
2016-08-21,545,15,20,0,108,서울,30.7,26.9,36.6,0,2.1,20.8,57.5,24.6,8.3,17.95,33.8,29.7,26.18571429,34.65714286,3,1.742857143,21.34285714,62.67142857,25.51428571,6.4,14.25142857,33.98571429
2016-08-28,393,31,6,0,108,서울,21,18.3,24.5,1.5,2.6,13.3,62.5,15.4,3.6,10.21,23.7,26.08571429,22.41428571,30.97142857,4.914285714,2.457142857,17.1,59.87142857,20.34285714,7.171428571,14.69571429,27.95714286
2016-09-04,494,24,12,0,108,서울,25.6,22.1,29.6,,1.5,19.8,71.3,23.2,2.7,10.25,26,22.48571429,18.61428571,26.65714286,5.625,2.6,16.15714286,69.3,18.65714286,5.3,11.56285714,23.28571429
2016-09-11,520,38,6,0,108,서울,24.5,22.1,28.2,,1.7,17.6,66.3,20.1,3.8,9.83,25.6,24.45714286,21.17142857,28.82857143,4.5,1.671428571,18.08571429,69.15714286,20.77142857,6.171428571,12.05142857,26.12857143
2016-09-18,660,26,11,0,108,서울,23.5,20.2,28.3,,3.1,13.3,53.4,15.3,9.3,15.29,24.7,23.95714286,20.04285714,28.95714286,4.75,2.042857143,16.38571429,64.1,18.74285714,6.771428571,13.02142857,25.38571429
2016-09-25,708,88,4,0,108,서울,23,18.6,29.7,,1.2,13.6,57.6,15.6,5.2,12.66,26.6,21.61428571,16.7,27.65714286,0,2.114285714,10.57142857,51.45714286,12.97142857,9.3,15.37571429,25.15714286
2016-10-02,648,28,0,0,108,서울,19,16.7,22.4,18.5,2.7,16.2,84.1,18.5,0,2.6,18.6,20.78571429,18.22857143,24.4,10.83333333,1.842857143,15.44285714,72.94285714,17.65714286,2.357142857,7.244285714,21.57142857
2016-10-09,576,26,8,0,108,서울,11.3,6.5,16.6,,2.9,-0.2,46.3,6,10.7,16.46,14.6,18.8,14.22857143,24.4,4.833333333,2.728571429,10.81428571,61.98571429,13.71428571,8.4,13.75571429,20.51428571
2016-10-16,590,23,1,0,108,서울,17.2,15.4,19.5,1.5,1.5,12.3,74.1,14.4,0,3.06,16.5,16.15714286,10.91428571,22.17142857,1.5,1.557142857,7.028571429,57.61428571,10.47142857,7.842857143,11.63571429,17.32857143
2016-10-23,593,16,3,0,108,서울,13.3,10.6,17.8,2.5,4,6.9,66.3,10,0.1,2.33,13.8,17.22857143,13.34285714,22.62857143,2.5,2.128571429,10.32857143,65.68571429,12.65714286,5.985714286,9.318571429,18.2
2016-10-30,54,0,0,0,108,서울,7.9,1.6,15.1,,1.5,-8.7,31.9,3.2,9.7,13.56,8.6,12.48571429,7.985714286,17.14285714,12.43333333,2.128571429,4.028571429,59.88571429,9.042857143,5.114285714,8.624285714,12.6
2016-11-06,330,4,2,0,108,서울,14,11.9,18.3,,3.4,5.9,59.4,9.4,5.4,8.91,15.3,8.814285714,4.585714286,13.07142857,0.16,2.285714286,1.142857143,60.45714286,7.442857143,5.285714286,7.924285714,9.8
2016-11-13,193,0,0,0,108,서울,14.4,12.1,18.1,0.5,1.7,9.8,74.8,12.2,3.1,6.62,13.4,8.557142857,4.371428571,13.37142857,2.18,2.342857143,0.928571429,60.87142857,7.314285714,5.885714286,8.218571429,9
2017-04-23,43,0,0,0,108,서울,14.9,8.9,21.7,,2.4,-0.1,40,6.2,12.6,23.55,19.3,13.52857143,8.928571429,19.35714286,4.366666667,2.342857143,3.185714286,53.77142857,7.942857143,7.4,15.35571429,15.44285714
2017-04-30,34,0,0,0,108,서울,19.3,13.7,27.8,,2.6,10.1,57.9,12.4,11.4,21.96,24.2,15.8,10.25714286,22.1,0,2.9,3.4,47.64285714,8.214285714,11.18571429,23.50833333,20.58571429
2017-05-07,31,0,0,0,108,서울,16.6,10.9,22.8,,3.2,2.1,42.6,7.4,12.6,25.9,23.6,19.38571429,13.38571429,26.15714286,0,2.6,5.185714286,42.64285714,9.314285714,11.11428571,22.99428571,25.44285714
2017-05-14,134,21,0,0,108,서울,15.7,11,20.7,,3.7,6.6,58.3,9.8,13.1,27.71,19.9,17.41428571,13.41428571,22.3,2.75,2.414285714,10.1,64.6,12.68571429,5,14.12428571,19.44285714
2017-05-21,167,18,6,0,108,서울,21.5,16,27.6,,2.3,9.3,48.1,11.8,11.9,26.62,30.6,19.37142857,14.04285714,25.42857143,0,2.357142857,7.871428571,50,10.7,11.71428571,23.25428571,26.14285714
2017-05-28,59,15,1,0,108,서울,21.2,14.4,27.9,,2.7,9.7,50.6,12.6,11.2,23.57,28.3,20.17142857,14.98571429,26.01428571,2.55,2.442857143,9.085714286,52.25714286,12.05714286,10.81428571,22.72285714,26.9
2017-06-04,168,14,3,0,108,서울,21.7,15.1,28.1,,2.6,5.2,36.9,8.9,13.6,27.49,30.3,22.25714286,17.3,28.05714286,0,2.585714286,8.828571429,46.35714286,11.97142857,11.55714286,23.79142857,30.22857143
2017-06-11,177,10,2,0,108,서울,22.8,14.8,29.6,,2.2,5.1,33.8,8.8,13.7,28.53,26.8,20.97142857,15.78571429,26.01428571,6.52,2.485714286,10.41428571,57.48571429,13.22857143,7.971428571,18.93714286,24.04285714
2017-06-18,254,29,3,0,108,서울,24.3,18.6,31.8,,2.3,12.8,52,14.9,13.2,26,32.4,23.21428571,18.61428571,29.24285714,0,2.485714286,13.27142857,56.28571429,15.4,11.94285714,24.31428571,30.48571429
2017-06-25,501,18,3,0,108,서울,23.8,21,28.4,1.5,1.5,18.9,75.4,21.8,4.6,12.96,24.4,25.21428571,20.88571429,30.74285714,1.25,2,15.04285714,56.14285714,17.31428571,8.442857143,18.54285714,30.68571429
2017-07-02,597,23,3,0,108,서울,24.3,21.9,26.8,92,2.5,22.6,90.5,27.4,0,5.5,24.7,25.14285714,21.68571429,30.11428571,30.375,2.2,19.22857143,71.81428571,22.4,5.742857143,15.60571429,27.84285714
2017-07-09,287,43,2,0,108,서울,26.3,23.8,30.3,32.5,1,24,88,29.8,1.6,9.27,27.4,26.44285714,23.67142857,30.35714286,25.91666667,2.042857143,22.14285714,79.05714286,26.8,4.314285714,12.38285714,27.34285714
2017-07-16,408,31,3,0,108,서울,26.2,23.4,28.8,22.5,1.4,22.9,83.4,27.9,0.9,10.5,27.1,26.37142857,23.67142857,29.8,35.08333333,1.985714286,22.45714286,80.8,27.22857143,4.357142857,12.05428571,27.64285714
2017-07-23,490,51,3,0,108,서울,27,26.1,28.1,133.5,2.1,25,89.5,31.7,0,2.72,26.7,28.22857143,25.61428571,31.67142857,36,2.071428571,23.38571429,76.25714286,28.78571429,3.757142857,12.46285714,29.52857143
2017-07-30,368,113,5,0,108,서울,27.9,24.7,32.6,,1.9,20.3,64.4,23.8,6.9,18.56,29.9,27.42857143,24.82857143,30.68571429,3.75,1.914285714,21.1,70.47142857,25.2,4.671428571,13.32,29.04285714
2017-08-06,147,119,7,0,108,서울,29.8,28.2,34,5,1.9,24,71.9,29.9,3.7,11.98,32.1,29.42857143,26.34285714,33.01428571,2.625,1.785714286,22.78571429,68.97142857,27.84285714,6.857142857,15.31285714,31.6
2017-08-13,182,70,1,0,108,서울,26.3,24.2,28.4,0,2.8,18.3,62.1,21.1,1.4,11.22,27.8,27.27142857,24.52857143,31.01428571,2.125,2.257142857,20.81428571,69.48571429,24.74285714,5.514285714,14.54,29.98571429
