date,mosquito,temp,l_temp,h_temp,rain_per_day,cum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
2015-04-06,199,12,7.4,17.6,6.5,1,5.9,1.9,53.9,7.1,5.6,14.89,14.7
2015-04-07,146,6.9,5.8,8,10.5,2,2.7,5.3,89.9,8.9,0,5.33,9.8
2015-04-08,90,11.1,5.6,17,1,3,2.9,5.8,72,9.2,8.5,16.51,13.6
2015-04-09,172,9.9,6.9,14.8,7,4,3.6,4.4,69.5,8.5,1.1,3.64,8.7
2015-04-10,249,10.5,4.8,16.1,,0,3.7,-1.7,45.4,5.4,12.1,22.45,12.6
2015-04-11,410,15.2,5.2,23.7,,0,1.9,-3.3,31.9,4.8,9.8,19.74,15.7
2015-04-12,459,14.5,11.2,17.3,12,1,3.7,8.8,74.8,11.9,0,5.15,15.1
2015-04-13,468,12.2,10.3,16.8,5.5,2,3.2,7.6,75.3,10.5,3.2,8.68,14.3
2015-04-14,132,14,7.7,20.9,,0,2.9,0.1,46,6.6,12.5,22.93,15.8
2015-04-15,31,14.2,9.3,20.7,,0,3,2.7,47,7.5,11.2,19.32,15
2015-04-16,573,14.5,8,20.1,,0,3.5,0,41.1,6.2,10.8,21.03,15.7
2015-04-17,83,15.7,10.4,22.8,,0,3.2,-0.1,38.3,6.3,12.2,22.53,18.5
2015-04-18,416,15.9,9.2,23,,0,2.7,-2.2,31.3,5.3,12.6,22.89,19
2015-04-19,982,17.3,9.9,24.4,,0,3.3,1.5,37.6,7.5,11.7,20.92,19.7
2015-04-20,282,18.5,12.7,24.9,,0,2.8,3,39.3,7.7,12.3,22.03,21.6
2015-04-21,408,20.3,12.3,26.9,,0,2.1,4.8,38.6,8.9,9.6,19.07,23
2015-04-22,933,17,15.8,18.4,3.5,1,2.9,12.9,77,14.9,0,5.86,17.4
2015-04-23,656,21.2,15.1,28.3,,0,2.2,11.5,56.6,13.6,12.3,21.6,23.9
2015-04-24,764,21,15.9,27.2,,0,2.5,12.1,58.8,14.2,12.3,22.13,25.1
2015-04-25,757,20.7,15.8,26,0.5,1,2.1,13.3,64.4,15.4,6.6,15.24,23.7
2015-04-26,862,18.3,17.1,19.6,3.5,2,2.1,16.6,90.4,18.9,0.3,5.26,19.7
2015-04-27,1033,16.1,12.5,20.1,,0,4.2,1.6,45.9,7.9,12.4,24.18,21.2
2015-04-28,0,14.2,8.3,19.9,,0,3.4,-1.1,37.9,5.8,12.9,25.05,20.6
2015-04-29,1629,15.4,9.8,22,,0,2.4,-0.5,36.3,5.9,6.6,16.16,18.5
2015-04-30,1532,16.5,10.6,24,,0,2.6,-0.3,35.6,6.2,9.2,18.9,22.4
2015-05-01,2783,16.7,11.7,22.7,,0,2.5,9.5,64.3,11.9,3.9,14.53,21.8
2015-05-02,2729,17.6,12.6,24,,0,3,8.2,55,10.9,10.6,21.61,25.1
2015-05-03,2998,19.1,13.5,25.9,,0,2.3,4,39.6,8.2,11.9,23.43,25.9
2015-05-04,3392,18.4,14.4,24.1,14,1,3,10.3,62.1,12.8,3.8,13.34,23.3
2015-05-05,3137,13.3,10.3,17.5,9.5,2,6.4,8.8,75.9,11.4,4.7,12.77,16.7
2015-05-06,2849,17.4,11.8,21.4,,0,5.3,8.6,56.9,11.3,12.4,23.36,19.3
2015-05-07,2819,20.4,15.3,26.6,,0,3.3,13,63.8,15.3,8.7,19.15,22.7
2015-05-08,2926,19.1,16.3,23.7,,0,2.7,13.4,71,15.5,3.6,10.61,19.8
2015-05-09,0,18,11.6,25.2,,0,3,3.5,41.3,8,13.3,25.62,23
2015-05-10,0,18.6,11.7,25.2,,0,2.2,2.4,40.4,7.7,13,21.24,22.6
2015-05-11,0,17.7,13.7,22.2,,0,3.2,7.5,53.9,10.9,2.8,13.57,20.1
2015-05-12,1713,14.8,13,16.2,1,1,3.6,12.9,88.9,14.9,0.2,3.31,16.7
2015-05-13,2323,16.3,10.6,21.9,,0,3.1,7.6,60,10.5,12.9,24.87,22.1
2015-05-14,5430,18.7,12.6,26,,0,3.7,7.1,50.1,10.2,12.4,24.6,25
2015-05-15,8425,20,13.7,27.2,,0,2.9,6.8,45.3,9.9,12.9,24.5,26.6
2015-05-16,3935,20.6,13.6,28.3,,0,2.5,4.4,38.5,8.5,12.3,23.67,26.2
2015-05-17,6276,21,14,28.5,,0,2.4,4.8,37.3,8.6,13.5,25.64,28.9
2015-05-18,7851,20.8,14.4,28.7,,0,2.7,9.9,53.1,12.2,13.4,24.39,29.1
2015-05-19,10366,21.5,14.1,30.3,,0,2.7,8.5,48.9,11.3,13.4,25.46,29.8
2015-05-20,2926,23.2,14.4,31.5,,0,2,3.5,32.9,8.1,13.5,25.76,31
2015-05-21,16089,24.3,16.7,32.2,,0,2.2,3.4,27.1,7.8,12.3,23.3,30.6
2015-05-22,3450,23.8,18.5,29.8,,0,2.5,7.5,36.8,10.5,8.1,18.44,30.4
2015-05-23,3479,19.8,17,23.2,0.4,1,2.9,14.2,71,16.3,4,9.2,21.3
2015-05-24,10082,22.1,15.3,30.4,,0,2.2,10.1,52.8,12.7,12.5,23.66,29.7
2015-05-25,10540,21.7,15.8,28.5,,0,2.6,8.2,44.6,11,12,20.01,26.9
2015-05-26,5488,23.1,18.1,29.8,,0,2.7,10.3,46.9,12.6,12.5,21.87,29.9
2015-05-27,4262,23.3,17.1,29.4,,0,3.8,4.2,33.3,8.6,13.2,26.58,31.6
2015-05-28,4636,24.2,17.1,31.5,,0,2.6,4.3,28.9,8.3,9.9,0,32
2015-05-29,16214,19.1,17.5,22,1,1,1.7,10.4,58.8,12.8,0.3,5.94,19.6
2015-05-30,5448,22.4,16.4,28.9,,0,2.3,10.9,50.4,13,11,23.09,29.8
2015-05-31,5350,23.4,18.7,31.5,,0,2.3,10.5,46.8,12.8,8.2,20.45,30.2
2015-06-01,10706,22.4,18.2,27.8,,0,2.3,12.5,54.9,14.6,5.1,14.74,28.3
2015-06-02,4828,22.2,18.8,28.1,,0,2.9,15,66.3,17,10.6,19.71,27.9
2015-06-03,4857,25.3,17.6,34.9,,0,2.2,13.9,54.3,16,11.1,23.47,33.9
2015-06-04,3269,24.6,20.7,30.2,7.5,1,2.8,15.1,59.6,17.6,4.2,11.53,27.9
2015-06-05,3304,23.6,19.4,29.9,0.5,2,3.8,15.2,63.1,17.5,11.9,22.5,27.5
2015-06-06,3455,24.7,20.1,30.9,0.5,3,3.2,16.6,61.9,19.1,8.5,16.79,26.8
2015-06-07,3721,22.8,17.8,27.7,15.5,4,2.7,16.6,70.3,19,8.5,19.52,26.6
2015-06-08,3440,24.2,19.6,30.6,,0,2.2,16.9,65.6,19.3,9.2,18.62,26.4
2015-06-09,3466,25,20,30.9,,0,2.4,17.7,65.9,20.3,9.8,21.08,28.8
2015-06-10,3161,23.4,20.2,30.8,9.5,1,2.6,17.9,72.8,20.5,7.1,15.34,26.2
2015-06-11,3713,24.8,19.6,31.3,3,2,2.7,15.5,59.4,17.7,8.9,20.21,25.7
