date,mosquito,temp,rain_per_day,accum_rain,wind,humidity,sunshine
2015-04-06,199,12,6.5,6.5,5.9,53.9,14.89
2015-04-07,146,6.9,10.5,17,2.7,89.9,5.33
2015-04-08,90,11.1,1,11.5,2.9,72,16.51
2015-04-09,172,9.9,7,8,3.6,69.5,3.64
2015-04-10,249,10.5,0,0,3.7,45.4,22.45
2015-04-11,410,15.2,0,0,1.9,31.9,19.74
2015-04-12,459,14.5,12,12,3.7,74.8,5.15
2015-04-13,468,12.2,5.5,17.5,3.2,75.3,8.68
2015-04-14,132,14,0,0,2.9,46,22.93
2015-04-15,31,14.2,0,0,3,47,19.32
2015-04-16,573,14.5,0,0,3.5,41.1,21.03
2015-04-17,83,15.7,0,0,3.2,38.3,22.53
2015-04-18,416,15.9,0,0,2.7,31.3,22.89
2015-04-19,982,17.3,0,0,3.3,37.6,20.92
2015-04-20,282,18.5,0,0,2.8,39.3,22.03
2015-04-21,408,20.3,0,0,2.1,38.6,19.07
2015-04-22,933,17,3.5,3.5,2.9,77,5.86
2015-04-23,656,21.2,0,0,2.2,56.6,21.6
2015-04-24,764,21,0,0,2.5,58.8,22.13
2015-04-25,757,20.7,0.5,0.5,2.1,64.4,15.24
2015-04-26,862,18.3,3.5,4,2.1,90.4,5.26
2015-04-27,1033,16.1,0,0,4.2,45.9,24.18
2015-04-28,0,14.2,0,0,3.4,37.9,25.05
2015-04-29,1629,15.4,0,0,2.4,36.3,16.16
2015-04-30,1532,16.5,0,0,2.6,35.6,18.9
2015-05-01,2783,16.7,0,0,2.5,64.3,14.53
2015-05-02,2729,17.6,0,0,3,55,21.61
2015-05-03,2998,19.1,0,0,2.3,39.6,23.43
2015-05-04,3392,18.4,14,14,3,62.1,13.34
2015-05-05,3137,13.3,9.5,23.5,6.4,75.9,12.77
2015-05-06,2849,17.4,0,0,5.3,56.9,23.36
2015-05-07,2819,20.4,0,0,3.3,63.8,19.15
2015-05-08,2926,19.1,0,0,2.7,71,10.61
2015-05-09,0,18,0,0,3,41.3,25.62
2015-05-10,0,18.6,0,0,2.2,40.4,21.24
2015-05-11,0,17.7,0,0,3.2,53.9,13.57
2015-05-12,1713,14.8,1,1,3.6,88.9,3.31
2015-05-13,2323,16.3,0,0,3.1,60,24.87
2015-05-14,5430,18.7,0,0,3.7,50.1,24.6
2015-05-15,8425,20,0,0,2.9,45.3,24.5
2015-05-16,3935,20.6,0,0,2.5,38.5,23.67
2015-05-17,6276,21,0,0,2.4,37.3,25.64
2015-05-18,7851,20.8,0,0,2.7,53.1,24.39
2015-05-19,10366,21.5,0,0,2.7,48.9,25.46
2015-05-20,2926,23.2,0,0,2,32.9,25.76
2015-05-21,16089,24.3,0,0,2.2,27.1,23.3
2015-05-22,3450,23.8,0,0,2.5,36.8,18.44
2015-05-23,3479,19.8,0.4,0.4,2.9,71,9.2
2015-05-24,10082,22.1,0,0,2.2,52.8,23.66
2015-05-25,10540,21.7,0,0,2.6,44.6,20.01
2015-05-26,5488,23.1,0,0,2.7,46.9,21.87
2015-05-27,4262,23.3,0,0,3.8,33.3,26.58
2015-05-28,4636,24.2,0,0,2.6,28.9,0
2015-05-29,16214,19.1,1,1,1.7,58.8,5.94
2015-05-30,5448,22.4,0,0,2.3,50.4,23.09
2015-05-31,5350,23.4,0,0,2.3,46.8,20.45
2015-06-01,10706,22.4,0,0,2.3,54.9,14.74
2015-06-02,4828,22.2,0,0,2.9,66.3,19.71
2015-06-03,4857,25.3,0,0,2.2,54.3,23.47
2015-06-04,3269,24.6,7.5,7.5,2.8,59.6,11.53
2015-06-05,3304,23.6,0.5,8,3.8,63.1,22.5
2015-06-06,3455,24.7,0.5,1,3.2,61.9,16.79
2015-06-07,3721,22.8,15.5,16,2.7,70.3,19.52
2015-06-08,3440,24.2,0,0,2.2,65.6,18.62
2015-06-09,3466,25,0,0,2.4,65.9,21.08
2015-06-10,3161,23.4,9.5,9.5,2.6,72.8,15.34
2015-06-11,3713,24.8,3,12.5,2.7,59.4,20.21
2015-06-12,3399,24.5,0,0,2.9,57.8,18.87
2015-06-13,4172,19.6,44.5,44.5,1.8,91,3.25
