date,mosquito,temp,rain_per_day,cum_rain,wind,humidity,steam_pressure,sunshine_time,sunshine
2015-04-06,199,12.2,5.5,2,3.2,75.3,10.5,3.2,8.68
2015-04-07,146,14,0,0,2.9,46,6.6,12.5,22.93
2015-04-08,90,14.2,0,0,3,47,7.5,11.2,19.32
2015-04-09,172,14.5,0,0,3.5,41.1,6.2,10.8,21.03
2015-04-10,249,15.7,0,0,3.2,38.3,6.3,12.2,22.53
2015-04-11,410,15.9,0,0,2.7,31.3,5.3,12.6,22.89
2015-04-12,459,17.3,0,0,3.3,37.6,7.5,11.7,20.92
2015-04-13,468,18.5,0,0,2.8,39.3,7.7,12.3,22.03
2015-04-14,132,20.3,0,0,2.1,38.6,8.9,9.6,19.07
2015-04-15,31,17,3.5,1,2.9,77,14.9,0,5.86
2015-04-16,573,21.2,0,0,2.2,56.6,13.6,12.3,21.6
2015-04-17,83,21,0,0,2.5,58.8,14.2,12.3,22.13
2015-04-18,416,20.7,0.5,1,2.1,64.4,15.4,6.6,15.24
2015-04-19,982,18.3,3.5,2,2.1,90.4,18.9,0.3,5.26
2015-04-20,282,16.1,0,0,4.2,45.9,7.9,12.4,24.18
2015-04-21,408,14.2,0,0,3.4,37.9,5.8,12.9,25.05
2015-04-22,933,15.4,0,0,2.4,36.3,5.9,6.6,16.16
2015-04-23,656,16.5,0,0,2.6,35.6,6.2,9.2,18.9
2015-04-24,764,16.7,0,0,2.5,64.3,11.9,3.9,14.53
2015-04-25,757,17.6,0,0,3,55,10.9,10.6,21.61
2015-04-26,862,19.1,0,0,2.3,39.6,8.2,11.9,23.43
2015-04-27,1033,18.4,14,1,3,62.1,12.8,3.8,13.34
2015-04-28,0,13.3,9.5,2,6.4,75.9,11.4,4.7,12.77
2015-04-29,1629,17.4,0,0,5.3,56.9,11.3,12.4,23.36
2015-04-30,1532,20.4,0,0,3.3,63.8,15.3,8.7,19.15
2015-05-01,2783,19.1,0,0,2.7,71,15.5,3.6,10.61
2015-05-02,2729,18,0,0,3,41.3,8,13.3,25.62
2015-05-03,2998,18.6,0,0,2.2,40.4,7.7,13,21.24
2015-05-04,3392,17.7,0,0,3.2,53.9,10.9,2.8,13.57
2015-05-05,3137,14.8,1,1,3.6,88.9,14.9,0.2,3.31
2015-05-06,2849,16.3,0,0,3.1,60,10.5,12.9,24.87
2015-05-07,2819,18.7,0,0,3.7,50.1,10.2,12.4,24.6
2015-05-08,2926,20,0,0,2.9,45.3,9.9,12.9,24.5
2015-05-09,0,20.6,0,0,2.5,38.5,8.5,12.3,23.67
2015-05-10,0,21,0,0,2.4,37.3,8.6,13.5,25.64
2015-05-11,0,20.8,0,0,2.7,53.1,12.2,13.4,24.39
2015-05-12,1713,21.5,0,0,2.7,48.9,11.3,13.4,25.46
2015-05-13,2323,23.2,0,0,2,32.9,8.1,13.5,25.76
2015-05-14,5430,24.3,0,0,2.2,27.1,7.8,12.3,23.3
2015-05-15,8425,23.8,0,0,2.5,36.8,10.5,8.1,18.44
2015-05-16,3935,19.8,0.4,1,2.9,71,16.3,4,9.2
2015-05-17,6276,22.1,0,0,2.2,52.8,12.7,12.5,23.66
2015-05-18,7851,21.7,0,0,2.6,44.6,11,12,20.01
2015-05-19,10366,23.1,0,0,2.7,46.9,12.6,12.5,21.87
2015-05-20,2926,23.3,0,0,3.8,33.3,8.6,13.2,26.58
2015-05-21,16089,24.2,0,0,2.6,28.9,8.3,9.9,0
2015-05-22,3450,19.1,1,1,1.7,58.8,12.8,0.3,5.94
2015-05-23,3479,22.4,0,0,2.3,50.4,13,11,23.09
2015-05-24,10082,23.4,0,0,2.3,46.8,12.8,8.2,20.45
2015-05-25,10540,22.4,0,0,2.3,54.9,14.6,5.1,14.74
2015-05-26,5488,22.2,0,0,2.9,66.3,17,10.6,19.71
2015-05-27,4262,25.3,0,0,2.2,54.3,16,11.1,23.47
2015-05-28,4636,24.6,7.5,1,2.8,59.6,17.6,4.2,11.53
2015-05-29,16214,23.6,0.5,2,3.8,63.1,17.5,11.9,22.5
2015-05-30,5448,24.7,0.5,3,3.2,61.9,19.1,8.5,16.79
2015-05-31,5350,22.8,15.5,4,2.7,70.3,19,8.5,19.52
2015-06-01,10706,24.2,0,0,2.2,65.6,19.3,9.2,18.62
2015-06-02,4828,25,0,0,2.4,65.9,20.3,9.8,21.08
2015-06-03,4857,23.4,9.5,1,2.6,72.8,20.5,7.1,15.34
2015-06-04,3269,24.8,3,2,2.7,59.4,17.7,8.9,20.21
2015-06-05,3304,24.5,0,0,2.9,57.8,17.4,9.2,18.87
2015-06-06,3455,19.6,44.5,1,1.8,91,20.6,0,3.25
2015-06-07,3721,22.4,0,0,2,69.1,17.8,12.8,23.21
2015-06-08,3440,24,0,0,2.4,60.4,17.5,11.3,21.88
2015-06-09,3466,24.7,0,0,2.3,64.1,19.3,11.7,20.76
2015-06-10,3161,25.7,0,0,2.5,58.3,18.9,8.6,18.02
2015-06-11,3713,24.8,2,1,2.1,65.1,20,2.4,11.93
2015-06-12,3399,21,12.5,2,3.3,75.8,18.4,0.3,10.37
2015-06-13,4172,25.2,0,0,2.2,55.3,17.1,12.6,26.17
2015-06-14,5474,25.4,0,0,2.6,61.8,19.7,13,23.32
2015-06-15,4680,25.7,0,0,2.8,61.8,19.8,11.4,22.5
2015-06-16,4599,24.4,2.5,1,1.7,70,21,2.8,8.49
2015-06-17,4662,23.7,0.5,2,3.8,66.3,18.9,11.7,23.03
2015-06-18,4421,23.7,0,0,4,64.5,18,11.1,20.63
2015-06-19,3577,23.3,0,0,3,62.6,17.2,11.1,22.48
2015-06-20,4412,24.1,0,0,2.2,55.8,16.1,10.9,20.86
2015-06-21,3039,24.2,0,0,2.3,57.4,16.9,9.7,18.23
2015-06-22,4497,25.3,0,0,2.2,54.3,16.8,9.9,20.44
2015-06-23,6747,25.6,0,0,2,52.1,16.8,5.5,14.8
2015-06-24,4712,23.4,0.5,1,4,69.8,19.9,1.3,12.41
2015-06-25,4104,26.5,0,0,2.9,61.3,21,4.5,14.1
2015-06-26,5243,29.2,0,0,1.9,60.9,23.8,8.7,17.95
2015-06-27,4730,30.4,0,0,2.1,60.3,25.5,9.9,17.99
2015-06-28,5286,24.8,29,1,4,94.1,29.3,0,4.84
2015-06-29,7108,23.1,10,2,5.2,90.8,25.5,0.1,3.52
2015-06-30,7146,26.1,0,0,3.5,72.4,24,10.1,20.45
2015-07-01,8700,27.9,0,0,2.9,58.8,21.3,11.4,19.53
2015-07-02,9520,24.7,0,0,5,51.3,15.8,11.2,20.99
2015-07-03,11659,23.6,0,0,3.6,49.8,14.3,8.1,18.65
2015-07-04,8229,24.3,0.5,1,2.2,63.5,19.3,1.1,8.93
2015-07-05,7150,25.1,5,2,1.8,77.4,24.1,3.4,12.69
2015-07-06,8613,27.5,0,0,2.4,71.4,26.1,1.7,10.48
2015-07-07,8141,27,11,1,1.6,81.6,28.7,0.3,7.53
2015-07-08,6335,27.7,1,2,1.8,76.9,28.4,2.2,8.63
2015-07-09,7024,26.9,16,3,2.1,81,28.3,2.3,8.55
2015-07-10,7240,24.7,26.5,4,2,96.9,29.9,0,3.79
2015-07-11,6338,25,80,5,3.2,95.1,29.9,0,1.93
2015-07-12,5818,26,40.5,6,2.6,85.5,28.3,4.3,14.11
2015-07-13,6278,26.2,1.5,7,2.3,86,28.9,3.6,9.43
2015-07-14,6505,27.7,0,0,2.7,74.4,27.1,7.2,15.95
2015-07-15,6136,26.7,4,1,2.6,82.9,28.8,0.2,5.49
2015-07-16,4380,28.6,0,0,3.5,76.4,29.4,7.9,15.12
2015-07-17,4200,27.9,0,0,2.7,74.3,27.7,6.7,14.93
2015-07-18,5005,28.2,0,0,3.1,72.8,27.5,5.3,11.43
2015-07-19,5225,26.5,16.5,1,2.7,84.3,28.9,1.4,7.69
2015-07-20,0,27.9,0,0,3.8,71.5,26.5,6,12.74
2015-07-21,5753,27.5,0,0,4.5,73.3,26.7,3.7,9.77
2015-07-22,5426,28.6,0.1,1,3.7,67,25.6,7.5,15.78
2015-07-23,4390,29.3,0,0,2,64.5,25.8,11.8,21.48
2015-07-24,6509,28.9,11,1,1.4,71.3,27.8,7.5,15.11
2015-07-25,5340,26.6,7.5,2,2.1,79.1,27.2,5,11.69
2015-07-26,5065,26.7,0,0,2.1,74.4,25.5,9.6,16.75
