date,mosquito,temp,rain_per_day,accum_rain,wind,humidity,sunshine
2015-04-06,199,12.21428571,5.285714286,0,3.371428571,68.75714286,8.88
2015-04-07,146,11.57142857,4.928571429,0,3.428571429,65.74285714,9.891428571
2015-04-08,90,10.91428571,4.571428571,0,3.257142857,63.54285714,9.927142857
2015-04-09,172,10.17142857,0.571428571,0,2.871428571,59.61428571,10.88428571
2015-04-10,249,10.31428571,0.071428571,0,2.871428571,53.48571429,12.77714286
2015-04-11,410,10.31428571,0.071428571,0,2.614285714,52.24285714,13.81285714
2015-04-12,459,10.94285714,0,0,2.671428571,45.88571429,15.2
2015-04-13,468,11.18571429,0.928571429,7,3.128571429,45.61428571,15.87
2015-04-14,132,10.97142857,2.428571429,17,3.142857143,49.95714286,15.17857143
2015-04-15,31,11.37142857,2.571428571,12,3.142857143,52.74285714,15.43857143
2015-04-16,573,11.41428571,3.571428571,8,3.328571429,56.52857143,13.35857143
2015-04-17,83,11.25714286,3.571428571,0,3.457142857,57.22857143,13.61285714
2015-04-18,416,11.5,3.571428571,0,3.371428571,56.17142857,13.59428571
2015-04-19,982,11.44285714,5.285714286,12,3.485714286,62.48571429,12.53
2015-04-20,282,11.47142857,5.142857143,18,3.1,65.54285714,11.64285714
2015-04-21,408,12.48571429,3.642857143,0,3.128571429,59.27142857,14.15714286
2015-04-22,933,12.92857143,3.5,0,3.142857143,55.7,14.55857143
2015-04-23,656,13.58571429,2.5,0,3.128571429,51.64285714,17.04285714
2015-04-24,764,14.32857143,2.5,0,3.057142857,50.62857143,17.05428571
2015-04-25,757,14.42857143,2.5,0,3.171428571,50.54285714,17.50428571
2015-04-26,862,14.82857143,0.785714286,0,3.114285714,45.22857143,19.75714286
2015-04-27,1033,15.72857143,0,0,3.057142857,40.08571429,21.66428571
2015-04-28,0,16.62857143,0,0,2.942857143,39.02857143,21.11285714
2015-04-29,1629,17.02857143,0.5,4,2.928571429,43.31428571,19.19
2015-04-30,1532,17.98571429,0.5,0,2.742857143,45.52857143,19.27142857
2015-05-01,2783,18.74285714,0.5,0,2.642857143,48.45714286,19.21428571
2015-05-02,2729,19.42857143,0.571428571,1,2.557142857,53.18571429,18.12142857
2015-05-03,2998,19.57142857,1.071428571,4,2.385714286,60.72857143,15.88428571
2015-05-04,3392,19.22857143,1.071428571,0,2.585714286,61.67142857,16.19142857
2015-05-05,3137,18.35714286,1.071428571,0,2.771428571,61.57142857,17.04571429
