date,mosquito,temp,l_temp,h_temp,rain_per_day,accum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
2018-04-01,918,11.88571429,8.228571429,16.51428571,0,0,2.414285714,7.442857143,76.28571429,10.5,6.3,14.98285714,12.32857143
2018-04-02,1872,13.18571429,9.714285714,17.7,0,0,2.657142857,8.4,74.58571429,11.22857143,6.057142857,14.82571429,13.05714286
2018-04-03,1493,13.84285714,10.55714286,18.11428571,0,0,2.685714286,9.314285714,76.01428571,11.97142857,4.842857143,13.42,13.5
2018-04-04,450,13.78571429,10.4,18.05714286,15,15,2.8,9.042857143,75.07142857,11.78571429,5.028571429,13.3,13.62857143
2018-04-05,654,13.07142857,9.971428571,17.14285714,13,28,3.042857143,8.6,76.55714286,11.45714286,4.114285714,11.61428571,13
2018-04-06,212,12.07142857,9.2,15.55714286,7,20,3.528571429,7.942857143,77.84285714,11.11428571,3.5,10.61142857,12.21428571
2018-04-07,121,10.97142857,8.342857143,14.2,0,0,4.214285714,6.314285714,75.24285714,10.38571429,4.114285714,11.33142857,11.22857143
2018-04-08,68,9.642857143,7.171428571,13,2,2,4.357142857,4.614285714,73.5,9.371428571,4.442857143,11.55571429,10.11428571
2018-04-09,197,8.314285714,5.171428571,11.81428571,0,0,4.1,2.628571429,71.37142857,8.142857143,4.957142857,12.33857143,9.171428571
2018-04-10,342,8.157142857,4.842857143,11.91428571,2,2,4.585714286,1.642857143,67.64285714,7.428571429,5.6,13.69857143,8.814285714
2018-04-11,524,7.9,4.685714286,11.64285714,0,0,4.485714286,1.2,66.91428571,7.171428571,6.371428571,15.28571429,8.828571429
2018-04-12,310,8.314285714,4.657142857,12.31428571,0,0,4.442857143,0.2,60.78571429,6.642857143,8.071428571,18.42142857,9.257142857
2018-04-13,504,9.614285714,5.442857143,13.88571429,0,0,4.085714286,-0.628571429,54.32857143,6.314285714,7.6,18.39428571,9.714285714
2018-04-14,928,10.25714286,6.171428571,14.94285714,6,6,3.714285714,1.071428571,59.31428571,7.071428571,6.214285714,15.86571429,10.17142857
2018-04-15,163,10.88571429,6.685714286,15.55714286,0,0,3.657142857,1.828571429,59.75714286,7.414285714,7.128571429,17.36857143,10.84285714
