emd_nm,base_year_month,base_year_month(sub),em_cnt,em_g,pay_amt
건입동,2018년 01월,2018년 1월,18416,45646550,1364804
건입동,2018년 02월,2018년 2월,17491,42953550,1284216
건입동,2018년 03월,2018년 3월,19396,46422450,1387853
건입동,2018년 04월,2018년 4월,19179,42438700,1268331
건입동,2018년 05월,2018년 5월,21277,44893300,1341494
건입동,2018년 06월,2018년 6월,23311,48187900,1439810
건입동,2018년 07월,2018년 7월,28626,57478250,1717202
건입동,2018년 08월,2018년 8월,26842,52553750,1569931
건입동,2018년 09월,2018년 9월,25510,49888000,1490285
건입동,2018년 10월,2018년 10월,23042,45417700,1426422
건입동,2018년 11월,2018년 11월,20791,42954200,1283438
건입동,2018년 12월,2018년 12월,20161,47652200,1424551
건입동,2019년 01월,2019년 1월,19741,46571200,1392203
건입동,2019년 02월,2019년 2월,18910,46934900,1403269
건입동,2019년 03월,2019년 3월,18966,43272850,1293420
건입동,2019년 04월,2019년 4월,18991,41103100,1228391
건입동,2019년 05월,2019년 5월,21797,45366000,1355574
건입동,2019년 06월,2019년 6월,23387,47155800,1408848
건입동,2019년 07월,2019년 7월,26082,54400500,1625503
건입동,2019년 08월,2019년 8월,26561,50759250,1516091
건입동,2019년 09월,2019년 9월,24806,47534600,1419870
건입동,2019년 10월,2019년 10월,22040,40734600,1216507
건입동,2019년 11월,2019년 11월,20387,40990100,1224609
건입동,2019년 12월,2019년 12월,19300,43076900,1287491
건입동,2020년 01월,2020년 1월,20359,45356150,1355578
건입동,2020년 02월,2020년 2월,18554,40314100,1204862
건입동,2020년 03월,2020년 3월,19812,40335450,1205108
건입동,2020년 04월,2020년 4월,18703,36668950,1095412
건입동,2020년 05월,2020년 5월,21611,40943550,1222972
건입동,2020년 06월,2020년 6월,20591,40283450,1203386
건입동,2020년 07월,2020년 7월,25261,46323350,1383433
건입동,2020년 08월,2020년 8월,25377,45467600,1357702
건입동,2020년 09월,2020년 9월,21173,35693200,1065579
건입동,2020년 10월,2020년 10월,21072,36567550,1091729
건입동,2020년 11월,2020년 11월,18837,35796000,1069165
건입동,2020년 12월,2020년 12월,18178,37884150,1131993
건입동,2021년 01월,2021년 1월,17467,36737750,1097802
건입동,2021년 02월,2021년 2월,13784,29397850,878538
건입동,2021년 03월,2021년 3월,16998,34167750,1020797
건입동,2021년 04월,2021년 4월,17780,35386850,1057232
건입동,2021년 05월,2021년 5월,20131,38047500,1136417
건입동,2021년 06월,2021년 6월,20296,36493300,1089760
구좌읍,2019년 11월,2019년 11월,593,2720350,81464
구좌읍,2019년 12월,2019년 12월,2942,11540750,345481
구좌읍,2020년 01월,2020년 1월,5800,21059800,630380
구좌읍,2020년 02월,2020년 2월,6097,19992650,598248
구좌읍,2020년 03월,2020년 3월,7258,22170750,663286
구좌읍,2020년 04월,2020년 4월,7488,21849950,653628
구좌읍,2020년 05월,2020년 5월,9516,27501450,822671
구좌읍,2020년 06월,2020년 6월,9180,25651800,767268
구좌읍,2020년 07월,2020년 7월,13077,37079550,1109175
구좌읍,2020년 08월,2020년 8월,14184,41169850,1231565
구좌읍,2020년 09월,2020년 9월,11770,31084150,929611
구좌읍,2020년 10월,2020년 10월,11513,31478700,941467
구좌읍,2020년 11월,2020년 11월,10253,30118550,901009
구좌읍,2020년 12월,2020년 12월,9802,26978450,806937
구좌읍,2021년 01월,2021년 1월,9025,25143650,752046
구좌읍,2021년 02월,2021년 2월,8833,26678900,798152
구좌읍,2021년 03월,2021년 3월,10269,30919350,924985
구좌읍,2021년 04월,2021년 4월,11197,33131350,991154
구좌읍,2021년 05월,2021년 5월,12014,34451200,1030579
구좌읍,2021년 06월,2021년 6월,14031,37807150,1130748
남원읍,2018년 01월,2018년 1월,9570,42437700,1270773
남원읍,2018년 02월,2018년 2월,8588,37088050,1110498
남원읍,2018년 03월,2018년 3월,10072,42988350,1287127
남원읍,2018년 04월,2018년 4월,10001,42703500,1278681
남원읍,2018년 05월,2018년 5월,11153,42616750,1275783
남원읍,2018년 06월,2018년 6월,11733,42287450,1265691
남원읍,2018년 07월,2018년 7월,13599,49758400,1489365
남원읍,2018년 08월,2018년 8월,13714,49571700,1483730
남원읍,2018년 09월,2018년 9월,12365,45419400,1359493
남원읍,2018년 10월,2018년 10월,11662,44434300,1330102
남원읍,2018년 11월,2018년 11월,10756,45008000,1347620
남원읍,2018년 12월,2018년 12월,11501,48961900,1465999
남원읍,2019년 01월,2019년 1월,10629,45272000,1355508
남원읍,2019년 02월,2019년 2월,7080,27809150,832508
남원읍,2019년 03월,2019년 3월,4749,17810750,533149
남원읍,2019년 04월,2019년 4월,4902,16786800,502368
남원읍,2019년 05월,2019년 5월,12716,45550300,1363350
남원읍,2019년 06월,2019년 6월,16410,58575550,1752986
남원읍,2019년 07월,2019년 7월,18048,64063450,1916105
남원읍,2019년 08월,2019년 8월,19078,66347550,1983554
남원읍,2019년 09월,2019년 9월,17315,57377000,1715490
남원읍,2019년 10월,2019년 10월,16754,57174300,1710048
남원읍,2019년 11월,2019년 11월,15041,55376450,1656190
남원읍,2019년 12월,2019년 12월,14964,60409100,1806276
남원읍,2020년 01월,2020년 1월,15805,68767000,2056671
남원읍,2020년 02월,2020년 2월,14605,61501550,1838582
남원읍,2020년 03월,2020년 3월,16239,62658150,1871340
남원읍,2020년 04월,2020년 4월,15672,59824450,1786816
남원읍,2020년 05월,2020년 5월,17574,63544800,1898050
남원읍,2020년 06월,2020년 6월,18020,63109150,1884639
남원읍,2020년 07월,2020년 7월,19042,67019150,2002478
남원읍,2020년 08월,2020년 8월,19399,71615800,2141973
남원읍,2020년 09월,2020년 9월,16302,56561100,1691503
남원읍,2020년 10월,2020년 10월,15179,57684950,1725913
남원읍,2020년 11월,2020년 11월,12979,53573900,1603690
남원읍,2020년 12월,2020년 12월,14848,60576700,1813426
남원읍,2021년 01월,2021년 1월,14101,56595100,1694399
남원읍,2021년 02월,2021년 2월,13816,56178800,1681205
남원읍,2021년 03월,2021년 3월,14974,62602150,1873290
남원읍,2021년 04월,2021년 4월,15199,61957700,1853834
남원읍,2021년 05월,2021년 5월,16071,59816600,1789111
