emd_nm,resid_reg_pop,foreign_pop,total_pop
건입동,9749.75,243.41666666666666,9993.166666666666
구좌읍,15647.916666666666,585.4166666666666,16233.333333333334
남원읍,19156.75,680.8333333333334,19837.583333333332
노형동,53596.333333333336,1950.0,55546.333333333336
대륜동,13777.166666666666,187.5,13964.666666666666
대정읍,21290.583333333332,1600.5,22891.083333333332
대천동,13445.25,245.83333333333334,13691.083333333334
도두동,3060.75,124.33333333333333,3185.0833333333335
동홍동,22779.583333333332,1258.1666666666667,24037.75
봉개동,4086.75,81.58333333333333,4168.333333333333
삼도1동,14309.083333333334,209.16666666666666,14518.25
삼도2동,8562.166666666666,251.5,8813.666666666666
삼양동,24407.0,248.41666666666666,24655.416666666668
서홍동,10631.333333333334,125.0,10756.333333333334
성산읍,15464.583333333334,1642.0833333333333,17106.666666666668
송산동,4429.083333333333,556.4166666666666,4985.5
아라동,32203.166666666668,1107.6666666666667,33310.833333333336
안덕면,11731.333333333334,610.0,12341.333333333334
애월읍,34882.75,1038.6666666666667,35921.416666666664
연동,41464.833333333336,1713.9166666666667,43178.75
영천동,5218.0,181.0,5399.0
예래동,4041.5833333333335,204.83333333333334,4246.416666666667
오라동,14183.083333333334,211.0,14394.083333333334
외도동,21190.333333333332,284.6666666666667,21475.0
용담1동,7652.083333333333,84.5,7736.583333333333
용담2동,15560.833333333334,231.08333333333334,15791.916666666666
우도면,1870.8333333333333,35.5,1906.3333333333333
이도1동,7893.416666666667,126.75,8020.166666666667
이도2동,49810.666666666664,633.25,50443.916666666664
이호동,4360.0,146.91666666666666,4506.916666666667
일도1동,2960.4166666666665,100.91666666666667,3061.3333333333335
일도2동,34763.25,288.4166666666667,35051.666666666664
정방동,2394.5833333333335,106.75,2501.3333333333335
조천읍,23811.5,569.75,24381.25
중문동,10979.583333333334,295.0833333333333,11274.666666666666
중앙동,3932.4166666666665,106.83333333333333,4039.25
천지동,3555.0,106.5,3661.5
추자면,1831.6666666666667,347.0,2178.6666666666665
표선면,12340.166666666666,420.75,12760.916666666666
한경면,9047.083333333334,337.5,9384.583333333334
한림읍,21113.25,3634.5,24747.75
화북동,25047.5,382.1666666666667,25429.666666666668
효돈동,5316.083333333333,82.83333333333333,5398.916666666667
