"svc_dv_cd","svc_tpbuz_scls_cd","svc_tpbuz_scls_nm","svc_tpbuz_mcls_cd"
SD02,MD0001,내과/외과,MD00
SD02,MD0002,치과,MD00
SD02,MD0003,정형/성형외과,MD00
SD02,MD0004,이비인후과,MD00
SD02,MD0005,안과,MD00
SD02,MD0006,피부과,MD00
SD02,MD0007,소아과,MD00
SD02,MD0008,비뇨기과,MD00
SD02,MD0009,산부인과,MD00
SD02,MD0010,한의원,MD00
SD02,MD0011,종합병원,MD00
SD02,MD0012,기타 일반의원,MD00
SD02,MD0013,동물병원,MD00
SD02,MD0014,약국,MD00
SD02,DC0001,슈퍼마켓,DC00
SD02,DC0002,안경점,DC00
SD02,DC0003,애완용품점,DC00
SD02,DC0004,장난감/게임,DC00
SD02,SC0001,헤어숍,SC00
SD02,SC0002,노래방,SC00
SD02,SC0003,당구장,SC00
SD02,SC0004,세탁소/빨래방,SC00
SD02,SC0005,자동차정비소,SC00
SD02,SC0006,주유소,SC00
SD02,SC0007,가스 충전소,SC00
SD02,SC0008,주차장,SC00
SD02,SC0009,스포츠 클럽,SC00
SD02,SC0010,전자제품 수리점,SC00
SD02,FD0001,한식,FD00
SD02,FD0002,일식,FD00
SD02,FD0003,중식,FD00
SD02,FD0004,양식,FD00
SD02,FD0005,분식,FD00
SD02,FD0006,수산물,FD00
SD02,FD0007,치킨,FD00
SD02,FD0008,갈비/삼겹살,FD00
SD02,FD0009,기타 고기요리,FD00
SD02,FD0010,찌게/탕,FD00
SD01,FD0101,백반/한정식,FD01
SD02,FD0011,패스트푸드점,FD00
SD02,FD0012,카페/디저트,FD00
SD02,FD0013,제과점/떡,FD00
SD02,FD0014,호프/주점,FD00
SD01,FD0102,갈비/삼겹살/구이,FD01
SD01,FD0103,닭/오리,FD01
SD01,FD0104,찌게/탕,FD01
SD01,FD0105,족발/쌈밥,FD01
SD01,FD0106,죽/샤브샤브,FD01
SD01,FD0107,곱창/양구이,FD01
SD01,FD0108,냉면,FD01
SD01,FD0201,중식당,FD02
SD01,FD0301,횟집,FD03
SD01,FD0302,초밥/전통일식,FD03
SD01,FD0401,경양식/레스토랑,FD04
SD01,FD0402,돈가스,FD04
SD01,FD0403,파스타,FD04
SD01,FD0501,패스트푸드,FD05
SD01,FD0601,커피/음료,FD06
SD01,FD0602,아이스크림,FD06
SD01,FD0801,뷔페,FD08
SD01,FD0901,김밥/라면/도시락,FD09
SD01,FD0902,국수/만두 ,FD09
SD01,FD0903,스낵,FD09
SD01,FD0904,떡볶이,FD09
SD01,FD1001,낙지/오징어,FD10
SD01,FD1002,해물/매운탕,FD10
SD01,FD1003,장어,FD10
