date,year,month,day,dd,explanation,weekend,holiday
2018-01-01,2018,1,1,Mon,새해,,O
2018-01-02,2018,1,2,Tue,,,
2018-01-03,2018,1,3,Wed,,,
2018-01-04,2018,1,4,Thu,,,
2018-01-05,2018,1,5,Fri,,,
2018-01-06,2018,1,6,Sat,,O,O
2018-01-07,2018,1,7,Sun,,O,O
2018-01-08,2018,1,8,Mon,,,
2018-01-09,2018,1,9,Tue,,,
2018-01-10,2018,1,10,Wed,,,
2018-01-11,2018,1,11,Thu,,,
2018-01-12,2018,1,12,Fri,,,
2018-01-13,2018,1,13,Sat,,O,O
2018-01-14,2018,1,14,Sun,,O,O
2018-01-15,2018,1,15,Mon,,,
2018-01-16,2018,1,16,Tue,,,
2018-01-17,2018,1,17,Wed,,,
2018-01-18,2018,1,18,Thu,,,
2018-01-19,2018,1,19,Fri,,,
2018-01-20,2018,1,20,Sat,,O,O
2018-01-21,2018,1,21,Sun,,O,O
2018-01-22,2018,1,22,Mon,,,
2018-01-23,2018,1,23,Tue,,,
2018-01-24,2018,1,24,Wed,,,
2018-01-25,2018,1,25,Thu,,,
2018-01-26,2018,1,26,Fri,,,
2018-01-27,2018,1,27,Sat,,O,O
2018-01-28,2018,1,28,Sun,,O,O
2018-01-29,2018,1,29,Mon,,,
2018-01-30,2018,1,30,Tue,,,
2018-01-31,2018,1,31,Wed,,,
2018-02-01,2018,2,1,Thu,,,
2018-02-02,2018,2,2,Fri,,,
2018-02-03,2018,2,3,Sat,,O,O
2018-02-04,2018,2,4,Sun,,O,O
2018-02-05,2018,2,5,Mon,,,
2018-02-06,2018,2,6,Tue,,,
2018-02-07,2018,2,7,Wed,,,
2018-02-08,2018,2,8,Thu,,,
2018-02-09,2018,2,9,Fri,,,
2018-02-10,2018,2,10,Sat,,O,O
2018-02-11,2018,2,11,Sun,,O,O
2018-02-12,2018,2,12,Mon,,,
2018-02-13,2018,2,13,Tue,,,
2018-02-14,2018,2,14,Wed,,,
2018-02-15,2018,2,15,Thu,설날,,O
2018-02-16,2018,2,16,Fri,설날,,O
2018-02-17,2018,2,17,Sat,설날,O,O
2018-02-18,2018,2,18,Sun,,O,O
2018-02-19,2018,2,19,Mon,,,
2018-02-20,2018,2,20,Tue,,,
2018-02-21,2018,2,21,Wed,,,
2018-02-22,2018,2,22,Thu,,,
2018-02-23,2018,2,23,Fri,,,
2018-02-24,2018,2,24,Sat,,O,O
2018-02-25,2018,2,25,Sun,,O,O
2018-02-26,2018,2,26,Mon,,,
2018-02-27,2018,2,27,Tue,,,
2018-02-28,2018,2,28,Wed,,,
2018-03-01,2018,3,1,Thu,삼일절,,O
2018-03-02,2018,3,2,Fri,,,
2018-03-03,2018,3,3,Sat,,O,O
2018-03-04,2018,3,4,Sun,,O,O
2018-03-05,2018,3,5,Mon,,,
2018-03-06,2018,3,6,Tue,,,
2018-03-07,2018,3,7,Wed,,,
2018-03-08,2018,3,8,Thu,,,
2018-03-09,2018,3,9,Fri,,,
2018-03-10,2018,3,10,Sat,,O,O
2018-03-11,2018,3,11,Sun,,O,O
2018-03-12,2018,3,12,Mon,,,
2018-03-13,2018,3,13,Tue,,,
2018-03-14,2018,3,14,Wed,,,
2018-03-15,2018,3,15,Thu,,,
2018-03-16,2018,3,16,Fri,,,
2018-03-17,2018,3,17,Sat,,O,O
2018-03-18,2018,3,18,Sun,,O,O
2018-03-19,2018,3,19,Mon,,,
2018-03-20,2018,3,20,Tue,,,
2018-03-21,2018,3,21,Wed,,,
2018-03-22,2018,3,22,Thu,,,
2018-03-23,2018,3,23,Fri,,,
2018-03-24,2018,3,24,Sat,,O,O
2018-03-25,2018,3,25,Sun,,O,O
2018-03-26,2018,3,26,Mon,,,
2018-03-27,2018,3,27,Tue,,,
2018-03-28,2018,3,28,Wed,,,
2018-03-29,2018,3,29,Thu,,,
2018-03-30,2018,3,30,Fri,,,
2018-03-31,2018,3,31,Sat,,O,O
2018-04-01,2018,4,1,Sun,,O,O
2018-04-02,2018,4,2,Mon,,,
2018-04-03,2018,4,3,Tue,,,
2018-04-04,2018,4,4,Wed,,,
2018-04-05,2018,4,5,Thu,,,
2018-04-06,2018,4,6,Fri,,,
2018-04-07,2018,4,7,Sat,,O,O
2018-04-08,2018,4,8,Sun,,O,O
2018-04-09,2018,4,9,Mon,,,
2018-04-10,2018,4,10,Tue,,,
2018-04-11,2018,4,11,Wed,,,
2018-04-12,2018,4,12,Thu,,,
2018-04-13,2018,4,13,Fri,,,
2018-04-14,2018,4,14,Sat,,O,O
2018-04-15,2018,4,15,Sun,,O,O
2018-04-16,2018,4,16,Mon,,,
2018-04-17,2018,4,17,Tue,,,
2018-04-18,2018,4,18,Wed,,,
2018-04-19,2018,4,19,Thu,,,
2018-04-20,2018,4,20,Fri,,,
2018-04-21,2018,4,21,Sat,,O,O
2018-04-22,2018,4,22,Sun,,O,O
2018-04-23,2018,4,23,Mon,,,
2018-04-24,2018,4,24,Tue,,,
2018-04-25,2018,4,25,Wed,,,
2018-04-26,2018,4,26,Thu,,,
2018-04-27,2018,4,27,Fri,,,
2018-04-28,2018,4,28,Sat,,O,O
2018-04-29,2018,4,29,Sun,,O,O
2018-04-30,2018,4,30,Mon,,,
2018-05-01,2018,5,1,Tue,,,
2018-05-02,2018,5,2,Wed,,,
2018-05-03,2018,5,3,Thu,,,
2018-05-04,2018,5,4,Fri,,,
2018-05-05,2018,5,5,Sat,어린이날,O,O
2018-05-06,2018,5,6,Sun,,O,O
2018-05-07,2018,5,7,Mon,대체휴일,,O
2018-05-08,2018,5,8,Tue,,,
2018-05-09,2018,5,9,Wed,,,
2018-05-10,2018,5,10,Thu,,,
2018-05-11,2018,5,11,Fri,,,
2018-05-12,2018,5,12,Sat,,O,O
2018-05-13,2018,5,13,Sun,,O,O
2018-05-14,2018,5,14,Mon,,,
2018-05-15,2018,5,15,Tue,,,
2018-05-16,2018,5,16,Wed,,,
2018-05-17,2018,5,17,Thu,,,
2018-05-18,2018,5,18,Fri,,,
2018-05-19,2018,5,19,Sat,,O,O
2018-05-20,2018,5,20,Sun,,O,O
2018-05-21,2018,5,21,Mon,,,
2018-05-22,2018,5,22,Tue,부처님 오신 날,,O
2018-05-23,2018,5,23,Wed,,,
2018-05-24,2018,5,24,Thu,,,
2018-05-25,2018,5,25,Fri,,,
2018-05-26,2018,5,26,Sat,,O,O
2018-05-27,2018,5,27,Sun,,O,O
2018-05-28,2018,5,28,Mon,,,
2018-05-29,2018,5,29,Tue,,,
2018-05-30,2018,5,30,Wed,,,
2018-05-31,2018,5,31,Thu,,,
2018-06-01,2018,6,1,Fri,,,
2018-06-02,2018,6,2,Sat,,O,O
2018-06-03,2018,6,3,Sun,,O,O
2018-06-04,2018,6,4,Mon,,,
2018-06-05,2018,6,5,Tue,,,
2018-06-06,2018,6,6,Wed,,,
2018-06-07,2018,6,7,Thu,,,
2018-06-08,2018,6,8,Fri,,,
2018-06-09,2018,6,9,Sat,,O,O
2018-06-10,2018,6,10,Sun,,O,O
2018-06-11,2018,6,11,Mon,,,
2018-06-12,2018,6,12,Tue,,,
2018-06-13,2018,6,13,Wed,전국동시지방선거,,O
2018-06-14,2018,6,14,Thu,,,
2018-06-15,2018,6,15,Fri,,,
2018-06-16,2018,6,16,Sat,,O,O
2018-06-17,2018,6,17,Sun,,O,O
2018-06-18,2018,6,18,Mon,,,
2018-06-19,2018,6,19,Tue,,,
2018-06-20,2018,6,20,Wed,,,
2018-06-21,2018,6,21,Thu,,,
2018-06-22,2018,6,22,Fri,,,
2018-06-23,2018,6,23,Sat,,O,O
2018-06-24,2018,6,24,Sun,,O,O
2018-06-25,2018,6,25,Mon,,,
2018-06-26,2018,6,26,Tue,,,
2018-06-27,2018,6,27,Wed,,,
2018-06-28,2018,6,28,Thu,,,
2018-06-29,2018,6,29,Fri,,,
2018-06-30,2018,6,30,Sat,,O,O
2018-07-01,2018,7,1,Sun,,O,O
2018-07-02,2018,7,2,Mon,,,
2018-07-03,2018,7,3,Tue,,,
2018-07-04,2018,7,4,Wed,,,
2018-07-05,2018,7,5,Thu,,,
2018-07-06,2018,7,6,Fri,,,
2018-07-07,2018,7,7,Sat,,O,O
2018-07-08,2018,7,8,Sun,,O,O
2018-07-09,2018,7,9,Mon,,,
2018-07-10,2018,7,10,Tue,,,
2018-07-11,2018,7,11,Wed,,,
2018-07-12,2018,7,12,Thu,,,
2018-07-13,2018,7,13,Fri,,,
2018-07-14,2018,7,14,Sat,,O,O
2018-07-15,2018,7,15,Sun,,O,O
2018-07-16,2018,7,16,Mon,,,
2018-07-17,2018,7,17,Tue,,,
2018-07-18,2018,7,18,Wed,,,
2018-07-19,2018,7,19,Thu,,,
2018-07-20,2018,7,20,Fri,,,
2018-07-21,2018,7,21,Sat,,O,O
2018-07-22,2018,7,22,Sun,,O,O
2018-07-23,2018,7,23,Mon,,,
2018-07-24,2018,7,24,Tue,,,
2018-07-25,2018,7,25,Wed,,,
2018-07-26,2018,7,26,Thu,,,
2018-07-27,2018,7,27,Fri,,,
2018-07-28,2018,7,28,Sat,,O,O
2018-07-29,2018,7,29,Sun,,O,O
2018-07-30,2018,7,30,Mon,,,
2018-07-31,2018,7,31,Tue,,,
2018-08-01,2018,8,1,Wed,,,
2018-08-02,2018,8,2,Thu,,,
2018-08-03,2018,8,3,Fri,,,
2018-08-04,2018,8,4,Sat,,O,O
2018-08-05,2018,8,5,Sun,,O,O
2018-08-06,2018,8,6,Mon,,,
