loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp,week_temp,week_l_temp,week_h_temp,week_rain_per_day,week_wind,week_dew,week_humidity,week_steam_pressure,week_sunshine_time,week_sunshine,week_ground_surface_temp
108,서울,2015-01-01,-7.7,-9.8,-4.3,,4.6,-18.8,41.4,1.4,8.9,9.79,-4.1,,,,,,,,,,,
108,서울,2015-01-02,-6,-9,-1.9,,3.2,-16.1,45.9,1.7,7.6,9.07,-3.6,,,,,,,,,,,
108,서울,2015-01-03,-2.7,-9.2,3.1,,1.9,-10.5,56.1,3,7.9,8.66,-2.6,,,,,,,,,,,
108,서울,2015-01-04,2.5,0.2,8.5,0,2,-2.5,70.1,5.2,3.6,5.32,1.1,,,,,,,,,,,
108,서울,2015-01-05,3.7,-1.1,7.9,0.4,2.4,-1,73.1,5.7,4.4,6.48,1.1,,,,,,,,,,,
108,서울,2015-01-06,-3.2,-7.6,4,3,4.3,-12.4,52.4,2.8,9.2,10.47,0.6,,,,,,,,,,,
108,서울,2015-01-07,-5.5,-8.9,-0.6,,2.5,-19.4,33.1,1.3,9.2,10.12,-2.2,,,,,,,,,,,
108,서울,2015-01-08,-5.1,-9.5,-0.2,,2.2,-15.4,45.8,1.9,9.2,10.09,-2.9,,,,,,,,,,,
108,서울,2015-01-09,-2.1,-6.8,3.5,,2,-9.4,58.3,3,9.1,8.74,-1.9,,,,,,,,,,,
108,서울,2015-01-10,-0.3,-5.6,4.8,,2.3,-8.2,56.5,3.5,9.1,9.41,-1.5,,,,,,,,,,,
108,서울,2015-01-11,-0.4,-4.3,2.5,,3.6,-8,57.8,3.5,9.2,9.6,0.3,-1.842857143,-6.257142857,3.128571429,1.7,2.757142857,-10.54285714,53.85714286,3.1,8.485714286,9.272857143,-0.928571429
108,서울,2015-01-12,-2.7,-7.3,3.7,,1.8,-15.3,37.8,1.9,9.3,10.05,-1.9,,,,,,,,,,,
108,서울,2015-01-13,0.2,-5.1,5.8,,1.8,-12.6,39.6,2.3,5.8,8.14,-0.9,,,,,,,,,,,
108,서울,2015-01-14,2.5,-0.3,6.1,,1.5,-9.5,41.1,3,0.3,3.36,0.3,,,,,,,,,,,
108,서울,2015-01-15,2.8,-1.1,9,,2.1,-6.1,53.6,4,7.2,8.47,1.6,,,,,,,,,,,
108,서울,2015-01-16,0.8,-2.5,3.4,0.3,4,-3.5,73,4.8,1.3,2.79,0.2,,,,,,,,,,,
108,서울,2015-01-17,-4.1,-7.7,0,,3.8,-14.3,46,2,9.3,10.89,-1.3,,,,,,,,,,,
108,서울,2015-01-18,-1.3,-6.5,2.1,4,2.3,-6.9,68.4,4,1.5,5.06,-1.5,-0.257142857,-4.357142857,4.3,2.15,2.471428571,-9.742857143,51.35714286,3.142857143,4.957142857,6.965714286,-0.5
108,서울,2015-01-19,-0.1,-4,3.1,0.1,3.2,-5.4,68.1,4.2,7.4,7.52,0.2,,,,,,,,,,,
108,서울,2015-01-20,-0.9,-6.4,4.4,,1.9,-9,55.8,3.1,8.7,9.79,-0.2,,,,,,,,,,,
108,서울,2015-01-21,2.6,-1.2,6.5,,2,-4.9,58.3,4.3,1.5,5.67,0.8,,,,,,,,,,,
108,서울,2015-01-22,3.1,0.8,7.1,,1.5,-3.9,60.6,4.6,1.6,5.51,1.2,,,,,,,,,,,
108,서울,2015-01-23,1.2,-1.6,4.9,,2.6,-4.3,66.4,4.5,6.7,6.88,0.5,,,,,,,,,,,
108,서울,2015-01-24,3.7,0.8,8.4,,1.8,-2.8,62.9,5,7.2,8.35,2.1,,,,,,,,,,,
108,서울,2015-01-25,3,1.1,5,3,3.5,-0.6,78.4,6,0,2.08,0.7,1.8,-1.5,5.628571429,1.55,2.357142857,-4.414285714,64.35714286,4.528571429,4.728571429,6.542857143,0.757142857
108,서울,2015-01-26,3.6,0.2,6.5,0.5,2.6,1.6,87.5,7,1.1,3.06,2.4,,,,,,,,,,,
108,서울,2015-01-27,-3.6,-7.4,0.5,,3.7,-11.5,55.4,2.6,9.4,11.85,1,,,,,,,,,,,
