loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp,week_temp,week_l_temp,week_h_temp,week_rain_per_day,week_wind,week_dew,week_humidity,week_steam_pressure,week_sunshine_time,week_sunshine,week_ground_surface_temp
129,서산,2015-01-01,-4.5,-5.8,-3.6,0,4.6,-10.8,61.5,2.7,3.8,5.27,0.4,,,,,,,,,,,
129,서산,2015-01-02,-4.3,-7.7,-0.6,0.1,2,-9.4,69.3,3,6.3,7.08,0.3,,,,,,,,,,,
129,서산,2015-01-03,-2.1,-10.1,3.2,,1.3,-5.3,78.9,4.3,6,7.19,0.1,,,,,,,,,,,
129,서산,2015-01-04,1.8,-3,9.3,,1,0,88.3,6.2,7.8,7.79,1.2,,,,,,,,,,,
129,서산,2015-01-05,4,-3.3,11,2.4,1,0.1,78.1,6.2,5.3,6.01,2.5,,,,,,,,,,,
129,서산,2015-01-06,-1,-4.1,4.1,3,4.6,-7.5,63.1,3.8,8.5,9.57,2.1,,,,,,,,,,,
129,서산,2015-01-07,-3.1,-6.1,-0.3,,2.8,-11.3,53.8,2.6,9,9.54,0.4,,,,,,,,,,,
129,서산,2015-01-08,-4.3,-9.9,2.2,,1.1,-8,77.4,3.4,9,9.85,0.1,,,,,,,,,,,
129,서산,2015-01-09,-1.9,-7.3,3.2,,1,-3.7,87.5,4.7,3.4,4.76,0.1,,,,,,,,,,,
129,서산,2015-01-10,-0.6,-7.2,6.3,,1.4,-4.1,78.5,4.6,8.4,9.04,0.4,,,,,,,,,,,
129,서산,2015-01-11,1.1,-1.8,4.6,0,3.9,-5.1,64.1,4.3,8.8,9.46,0.7,-0.828571429,-5.671428571,4.442857143,1.8,2.257142857,-5.657142857,71.78571429,4.228571429,7.485714286,8.318571429,0.9
129,서산,2015-01-12,-2.6,-7.4,3.1,,1.4,-11,55,2.7,9,9.33,0.4,,,,,,,,,,,
129,서산,2015-01-13,-0.7,-7.9,6.4,,0.7,-7.1,64.8,3.6,6.9,7.52,0.2,,,,,,,,,,,
129,서산,2015-01-14,2.5,0.1,5.4,,1.4,-4.4,61.1,4.4,0,2.65,0.7,,,,,,,,,,,
129,서산,2015-01-15,2.6,-2.7,8.2,,1.4,-3.1,67.8,4.9,6.4,7.67,2,,,,,,,,,,,
129,서산,2015-01-16,1.6,-2,4.2,0.5,3,-1.4,81.1,5.6,1,2.33,1.4,,,,,,,,,,,
129,서산,2015-01-17,-2.8,-7.2,0.9,,3.2,-8.7,64.9,3.2,9.1,10.14,1,,,,,,,,,,,
129,서산,2015-01-18,-0.6,-8.1,3.8,5.4,2.6,-3.1,83.8,5,2.5,5.18,0.2,0,-5.028571429,4.571428571,2.95,1.957142857,-5.542857143,68.35714286,4.2,4.985714286,6.402857143,0.842857143
129,서산,2015-01-19,1.7,-1.6,5.1,0.1,3.5,-2.6,73.1,5.1,5,5.6,1.4,,,,,,,,,,,
129,서산,2015-01-20,-0.1,-5.8,5.1,,1,-4.6,73.6,4.4,8.6,9.29,1.5,,,,,,,,,,,
129,서산,2015-01-21,2.6,-1.6,6.7,3.8,1,-1,78,5.7,0,3.11,1.8,,,,,,,,,,,
129,서산,2015-01-22,1.4,-2.9,6.4,0.6,1.3,-0.8,85.9,5.8,7.1,8.16,3,,,,,,,,,,,
129,서산,2015-01-23,0.2,-4.8,6,,1.1,-2.2,84.1,5.2,5.9,8.47,2.1,,,,,,,,,,,
129,서산,2015-01-24,2.5,-1.9,7.8,,1,-0.2,82.8,6.1,2.9,5.15,2.7,,,,,,,,,,,
129,서산,2015-01-25,4.2,-1.6,7.7,3.9,0.9,2.4,88.6,7.4,0,1.56,2.9,1.785714286,-2.885714286,6.4,2.1,1.4,-1.285714286,80.87142857,5.671428571,4.214285714,5.905714286,2.2
129,서산,2015-01-26,4.1,2,7.4,0.9,2.6,2.2,88.3,7.2,0.1,2.65,4.8,,,,,,,,,,,
129,서산,2015-01-27,-2.6,-4.8,2.1,,3.6,-7.9,66.8,3.4,9.4,11.33,2.3,,,,,,,,,,,
129,서산,2015-01-28,-3.8,-6,1.1,,2,-9.9,63.4,2.9,7.4,9.71,2.4,,,,,,,,,,,
129,서산,2015-01-29,-0.4,-4.6,3.6,,1.4,-5.4,69.4,4.1,0,4.07,0.4,,,,,,,,,,,
129,서산,2015-01-30,-1.6,-4.1,1.5,0,3.2,-7.5,65.4,3.5,7.1,9.99,1.5,,,,,,,,,,,
129,서산,2015-01-31,-4.9,-9.4,0.1,,1.6,-10.5,67,2.8,9.6,11.84,-0.7,,,,,,,,,,,
129,서산,2015-02-01,-3.4,-10.1,4.4,,1,-8.4,71,3.3,9.6,11.58,0,-1.8,-5.285714286,2.885714286,0.45,2.2,-6.771428571,70.18571429,3.885714286,6.171428571,8.738571429,1.528571429
129,서산,2015-02-02,-1.7,-7.1,5.4,,1.1,-8.1,65.3,3.4,7.7,10.38,1,,,,,,,,,,,
129,서산,2015-02-03,-0.9,-6.5,6.5,,1,-5.9,71.5,4,7,8.93,0.5,,,,,,,,,,,
129,서산,2015-02-04,-1.1,-5.8,3.2,0,1,-3.1,86.5,4.9,2.4,4.55,-0.8,,,,,,,,,,,
129,서산,2015-02-05,-0.9,-6.4,4.3,,1.7,-4.4,78.1,4.4,8.8,10.22,0.6,,,,,,,,,,,
129,서산,2015-02-06,-0.6,-6.4,6,,1.1,-3.7,81.3,4.7,7.7,9.78,1.8,,,,,,,,,,,
129,서산,2015-02-07,1.1,-4.6,5.9,,1.9,-2.4,78.1,5.2,2.6,6.21,1.2,,,,,,,,,,,
129,서산,2015-02-08,-6.8,-8.3,-1.6,,5.8,-14.4,54.8,2,8.9,11.11,-2.1,-1.557142857,-6.442857143,4.242857143,0,1.942857143,-6,73.65714286,4.085714286,6.442857143,8.74,0.314285714
129,서산,2015-02-09,-2.9,-10.5,1.5,0.2,2.9,-9.7,59.9,3.1,8.5,10.41,-1.3,,,,,,,,,,,
129,서산,2015-02-10,2.4,-4.4,7.7,,2.7,-2.2,74.1,5.2,8.9,9.34,1.8,,,,,,,,,,,
129,서산,2015-02-11,1.9,-2.9,8.6,,1.2,-1.9,77.4,5.4,4.9,7.25,1.8,,,,,,,,,,,
129,서산,2015-02-12,-0.4,-2.9,3.1,,4,-11.5,45.7,2.6,10.1,12.73,1.8,,,,,,,,,,,
129,서산,2015-02-13,-1.9,-8.8,4.5,,2,-9.9,57.1,2.9,10,12.54,1.4,,,,,,,,,,,
129,서산,2015-02-14,1.1,-6.5,7.6,,2.1,-1.1,85.8,5.8,3.9,6.13,0.1,,,,,,,,,,,
129,서산,2015-02-15,7.3,0.5,11.9,0.9,1.5,2.6,74.3,7.4,0.6,5.59,4.9,1.071428571,-5.071428571,6.414285714,0.55,2.342857143,-4.814285714,67.75714286,4.628571429,6.7,9.141428571,1.5
129,서산,2015-02-16,5.5,3.7,7.3,9.7,2,4.4,93,8.4,0,0.94,5.3,,,,,,,,,,,
129,서산,2015-02-17,2.5,1.3,4,,3.4,-1,77.3,5.7,1.1,4.25,3.4,,,,,,,,,,,
129,서산,2015-02-18,2.1,1.2,3.7,,2.5,-2.1,73.4,5.2,1.9,4.19,3.5,,,,,,,,,,,
129,서산,2015-02-19,1.4,-4.3,8.7,,1.3,-3,74.3,4.9,9.7,12.84,4.4,,,,,,,,,,,
129,서산,2015-02-20,3.8,-4.5,10.4,,1.4,-0.8,74.1,5.9,6.8,10.86,3.5,,,,,,,,,,,
129,서산,2015-02-21,6.5,3.6,7.8,9.3,1.3,4.6,88.3,8.5,0,1.81,5.5,,,,,,,,,,,
129,서산,2015-02-22,3.9,0.8,8.2,0.8,3.5,0.1,77.1,6.3,4.1,7.84,6.5,3.671428571,0.257142857,7.157142857,6.6,2.2,0.314285714,79.64285714,6.414285714,3.371428571,6.104285714,4.585714286
129,서산,2015-02-23,1.5,-2,6.2,,1.7,-3.1,71.9,4.8,5.2,9.51,4.1,,,,,,,,,,,
129,서산,2015-02-24,1.6,-2.8,8.4,,1.3,-2.5,76.8,5.1,9.9,13.77,4.6,,,,,,,,,,,
129,서산,2015-02-25,4.4,-1.3,10.7,0.5,1.8,-2.7,63.8,5.1,5.4,9.85,3.7,,,,,,,,,,,
129,서산,2015-02-26,1.7,-1,5,1.7,4.8,-4.9,63.6,4.5,9.4,14.3,5.4,,,,,,,,,,,
129,서산,2015-02-27,-1.7,-4.1,1.4,,3.2,-9.8,55,3,9.2,13.7,2.9,,,,,,,,,,,
129,서산,2015-02-28,2.4,-3.7,7.2,,1,-6.8,52.5,3.8,0.3,5.7,2.7,,,,,,,,,,,
129,서산,2015-03-01,2.4,-2.8,6.3,0,3.3,-3,68.3,4.9,3.6,6.79,2.5,1.757142857,-2.528571429,6.457142857,0.733333333,2.442857143,-4.685714286,64.55714286,4.457142857,6.142857143,10.51714286,3.7
129,서산,2015-03-02,1.8,-5.8,8.5,,2,-4.6,66.1,4.4,10.3,15.15,3,,,,,,,,,,,
129,서산,2015-03-03,3.7,-0.3,9.2,1,3.3,-3.1,62.6,5,1.1,5.81,3.7,,,,,,,,,,,
129,서산,2015-03-04,-0.7,-2.7,3,,5.1,-9.5,51.8,3,9.9,14.53,2.3,,,,,,,,,,,
129,서산,2015-03-05,-1.5,-7.5,5.7,,1.5,-8.7,61.3,3.2,9.5,14.67,3.1,,,,,,,,,,,
129,서산,2015-03-06,0.8,-6.8,10,,1.2,-7.1,62.4,3.7,10.6,15.92,4.3,,,,,,,,,,,
129,서산,2015-03-07,1.5,-6.5,10,,1.4,-6,63.1,4,10.5,16.42,5.4,,,,,,,,,,,
129,서산,2015-03-08,6.1,-2.6,15.7,,1.3,-2.3,59.3,5.2,8.3,13.21,6.9,1.671428571,-4.6,8.871428571,1,2.257142857,-5.9,60.94285714,4.071428571,8.6,13.67285714,4.1
129,서산,2015-03-09,1.9,-3.8,6.3,,4.6,-6.5,54.6,4.1,9.1,15.49,6.7,,,,,,,,,,,
129,서산,2015-03-10,-1.5,-4.5,1.6,0,5.8,-12,44.9,2.5,10.7,15.12,4.1,,,,,,,,,,,
129,서산,2015-03-11,2,-5.9,8.1,0,4.1,-6.6,53.4,3.8,10.3,13.38,5,,,,,,,,,,,
129,서산,2015-03-12,1.8,-7.1,7.5,,2.4,-6,59.9,4,10.6,16.76,6,,,,,,,,,,,
129,서산,2015-03-13,5.9,-0.5,11.2,0,2.2,-3.7,58.8,5.2,9.3,15.26,11,,,,,,,,,,,
129,서산,2015-03-14,2.8,-5,11.1,,1.4,-5,60.3,4.3,8.8,15.26,6.7,,,,,,,,,,,
129,서산,2015-03-15,3.4,-4.8,12.1,,1.4,-5,60.1,4.3,10.1,15.02,7,2.328571429,-4.514285714,8.271428571,0,3.128571429,-6.4,56,4.028571429,9.842857143,15.18428571,6.642857143
129,서산,2015-03-16,7.3,-1.7,19.4,,1.2,-1.2,60.6,5.6,7.8,14.15,10.5,,,,,,,,,,,
129,서산,2015-03-17,9.2,1.3,17.8,,1.4,2,64.3,7.1,1,7.49,9.7,,,,,,,,,,,
129,서산,2015-03-18,9.3,7.5,10.5,14.7,2.9,7.5,89.1,10.4,0,2.43,8.4,,,,,,,,,,,
129,서산,2015-03-19,10.8,5.8,17.8,,2,5.5,72,9.1,10.6,16.68,13,,,,,,,,,,,
129,서산,2015-03-20,11.3,5.3,21.3,,1.3,0,51.4,6.2,8.1,15.01,12.1,,,,,,,,,,,
129,서산,2015-03-21,8.3,0.9,16.7,,1.6,2.6,71.5,7.4,10,15.3,10.4,,,,,,,,,,,
129,서산,2015-03-22,6,0,14.5,,3,-2.9,59.4,5.1,8.4,15.89,9.3,8.885714286,2.728571429,16.85714286,14.7,1.914285714,1.928571429,66.9,7.271428571,6.557142857,12.42142857,10.48571429
129,서산,2015-03-23,3.9,-3.8,9.8,,3.5,-5.6,52.1,4.1,11.5,18.64,8.7,,,,,,,,,,,
129,서산,2015-03-24,3,-3.7,11.4,,1.6,-7.1,53.4,3.6,11.5,18.91,8.7,,,,,,,,,,,
129,서산,2015-03-25,3.6,-4.7,13.8,,1.3,-3,67.1,5,11.6,19.11,9.7,,,,,,,,,,,
129,서산,2015-03-26,5.1,-3.8,15.4,,1.4,-5.2,54.5,4.2,11.4,18.76,10.7,,,,,,,,,,,
129,서산,2015-03-27,6.3,-2.8,16.7,,1.6,-3.6,52.5,4.7,11.4,18.36,11.9,,,,,,,,,,,
129,서산,2015-03-28,7.7,-2.8,16.8,,1.9,-4.4,48.5,4.5,9.5,17.91,13.4,,,,,,,,,,,
129,서산,2015-03-29,9,4.5,16.3,0.1,1.4,5.9,82.1,9.3,6.1,12.11,14.3,5.514285714,-2.442857143,14.31428571,0.1,1.814285714,-3.285714286,58.6,5.057142857,10.42857143,17.68571429,11.05714286
129,서산,2015-03-30,10.5,1.8,19.4,,2.1,6.3,78.9,9.7,10.5,17.36,15.2,,,,,,,,,,,
129,서산,2015-03-31,11.7,4.7,13.4,4.8,1.1,10.4,92.4,12.7,0,1.83,10.9,,,,,,,,,,,
129,서산,2015-04-01,12.7,10.3,17.2,0.8,2.8,9.7,82.9,12.1,4.5,11.52,14.5,,,,,,,,,,,
129,서산,2015-04-02,16.4,11,23.5,27.9,4.7,12.2,77.8,14.5,4.2,8.34,15.4,,,,,,,,,,,
129,서산,2015-04-03,9.6,6.7,13.8,16.2,2.1,7.7,88.4,10.5,0.9,5.75,11.5,,,,,,,,,,,
129,서산,2015-04-04,12.9,8.5,17.7,4.8,2.5,8.1,74.8,10.9,4.5,10.79,13.7,,,,,,,,,,,
129,서산,2015-04-05,10.7,9.5,12.4,3.8,1.5,9.5,92.9,11.9,0,2.6,12.1,12.07142857,7.5,16.77142857,9.716666667,2.4,9.128571429,84.01428571,11.75714286,3.514285714,8.312857143,13.32857143
129,서산,2015-04-06,8.4,4.9,11.8,0,2.9,4.4,76.6,8.5,0,6.09,10,,,,,,,,,,,
129,서산,2015-04-07,6.9,1.8,11.5,,2.5,1.9,71.6,7.1,9.7,16.73,11.2,,,,,,,,,,,
129,서산,2015-04-08,7.5,2.6,13.1,,1.9,2.4,71.8,7.3,7,12.49,10.7,,,,,,,,,,,
129,서산,2015-04-09,7.4,1.1,14.2,,1.5,1,67.5,6.6,9.1,17.86,11.3,,,,,,,,,,,
129,서산,2015-04-10,8.9,1.2,16.9,,2,-0.7,56.6,5.9,11.8,19.54,12.2,,,,,,,,,,,
129,서산,2015-04-11,10.5,1.7,20.2,,1.5,1.8,59.6,7,11.3,18.94,14.4,,,,,,,,,,,
129,서산,2015-04-12,13.3,4.4,19.1,,2.1,-0.8,41.8,5.9,1.7,9.96,12.3,8.985714286,2.528571429,15.25714286,0,2.057142857,1.428571429,63.64285714,6.9,7.228571429,14.51571429,11.72857143
129,서산,2015-04-13,11.8,7.6,15.5,3.5,3.1,4.4,63.6,8.5,0,5.11,11.4,,,,,,,,,,,
129,서산,2015-04-14,8,6.4,11,5.1,1.9,6,88.1,9.4,0.8,6.22,11.3,,,,,,,,,,,
129,서산,2015-04-15,10,6.5,14.3,0.1,3.3,7.6,86,10.5,8.7,17.78,12.3,,,,,,,,,,,
129,서산,2015-04-16,9.8,5.4,15,1.4,3.7,6.1,78.6,9.6,4.9,7.72,8.9,,,,,,,,,,,
129,서산,2015-04-17,8.3,1.1,15.6,,2.7,1.6,66.1,7,8.2,10.3,11.9,,,,,,,,,,,
129,서산,2015-04-18,13.3,1.1,20.4,0.2,1.6,-1.1,43.1,5.9,5.8,12.74,12.6,,,,,,,,,,,
129,서산,2015-04-19,14.3,11.5,15.7,25.3,1.9,13.1,93,15.1,0,3.4,14.7,10.78571429,5.657142857,15.35714286,5.933333333,2.6,5.385714286,74.07142857,9.428571429,4.057142857,9.038571429,11.87142857
129,서산,2015-04-20,11.8,7.6,16.1,7,3,9.5,86.5,11.9,4.8,9.16,14.2,,,,,,,,,,,
129,서산,2015-04-21,10.5,3.6,18.2,,2,4.9,72.5,8.8,11.8,21.85,14.3,,,,,,,,,,,
129,서산,2015-04-22,11.6,5.7,17.7,,2.5,6.6,72.8,9.9,11.7,19.42,14,,,,,,,,,,,
129,서산,2015-04-23,11.5,3.8,18.7,,2.3,4.8,67.8,8.6,9.5,18.9,12.8,,,,,,,,,,,
129,서산,2015-04-24,14.6,7.7,22.1,,2,3.3,54.8,8.1,12.2,21.36,18.4,,,,,,,,,,,
129,서산,2015-04-25,12.9,4,21.3,,1.7,0.7,50.9,6.6,12.5,22.33,17.4,,,,,,,,,,,
129,서산,2015-04-26,15.2,6.4,22.7,,2.4,3.8,51.9,8.3,11.8,20.41,17.9,12.58571429,5.542857143,19.54285714,7,2.271428571,4.8,65.31428571,8.885714286,10.61428571,19.06142857,15.57142857
129,서산,2015-04-27,16,8.8,23.8,,1.9,6.6,57.7,9.8,11.9,21.57,19.7,,,,,,,,,,,
129,서산,2015-04-28,16.9,8.7,23.9,0.5,1.5,10.8,68.9,13.4,3.1,11.39,18.7,,,,,,,,,,,
