date,total,mosquito,etc
2015-04-06,201,199,2
2015-04-07,147,146,1
2015-04-08,91,90,1
2015-04-09,172,172,0
2015-04-10,250,249,1
2015-04-11,412,410,2
2015-04-12,461,459,2
2015-04-13,472,468,4
2015-04-14,132,132,0
2015-04-15,31,31,0
2015-04-16,576,573,3
2015-04-17,83,83,0
2015-04-18,417,416,1
2015-04-19,983,982,1
2015-04-20,282,282,0
2015-04-21,409,408,1
2015-04-22,937,933,4
2015-04-23,659,656,3
2015-04-24,768,764,4
2015-04-25,763,757,6
2015-04-26,869,862,7
2015-04-27,1037,1033,4
2015-04-28,0,0,0
2015-04-29,1641,1629,12
2015-04-30,1547,1532,15
2015-05-01,2801,2783,18
2015-05-02,2747,2729,18
2015-05-03,3016,2998,18
2015-05-04,3405,3392,13
2015-05-05,3154,3137,17
2015-05-06,2865,2849,16
2015-05-07,2835,2819,16
2015-05-08,2936,2926,10
2015-05-09,0,0,0
2015-05-10,0,0,0
2015-05-11,0,0,0
2015-05-12,1730,1713,17
2015-05-13,2334,2323,11
2015-05-14,5455,5430,25
2015-05-15,8450,8425,25
2015-05-16,3995,3935,60
2015-05-17,6293,6276,17
2015-05-18,28014,7851,20163
2015-05-19,10422,10366,56
2015-05-20,2935,2926,9
2015-05-21,16138,16089,49
2015-05-22,3473,3450,23
2015-05-23,3491,3479,12
2015-05-24,10101,10082,19
2015-05-25,10556,10540,16
2015-05-26,5510,5488,22
2015-05-27,4292,4262,30
2015-05-28,4661,4636,25
2015-05-29,16235,16214,21
2015-05-30,5475,5448,27
2015-05-31,5366,5350,16
2015-06-01,11007,10706,301
2015-06-02,4851,4828,23
2015-06-03,4882,4857,25
2015-06-04,3288,3269,19
2015-06-05,3331,3304,27
2015-06-06,3474,3455,19
2015-06-07,3746,3721,25
2015-06-08,3465,3440,25
2015-06-09,3491,3466,25
2015-06-10,3188,3161,27
2015-06-11,3751,3713,38
2015-06-12,3427,3399,28
2015-06-13,4222,4172,50
2015-06-14,5535,5474,61
2015-06-15,4720,4680,40
2015-06-16,4630,4599,31
2015-06-17,4712,4662,50
2015-06-18,4529,4421,108
2015-06-19,3604,3577,27
2015-06-20,4448,4412,36
2015-06-21,3046,3039,7
2015-06-22,4524,4497,27
2015-06-23,7465,6747,718
2015-06-24,4732,4712,20
2015-06-25,4124,4104,20
2015-06-26,5287,5243,44
2015-06-27,4776,4730,46
2015-06-28,5324,5286,38
2015-06-29,7199,7108,91
2015-06-30,7229,7146,83
2015-07-01,8783,8700,83
2015-07-02,9613,9520,93
2015-07-03,11731,11659,72
2015-07-04,8286,8229,57
2015-07-05,7211,7150,61
2015-07-06,8682,8613,69
2015-07-07,8203,8141,62
2015-07-08,6400,6335,65
2015-07-09,7075,7024,51
2015-07-10,7305,7240,65
2015-07-11,6385,6338,47
2015-07-12,5851,5818,33
2015-07-13,6304,6278,26
2015-07-14,6541,6505,36
2015-07-15,6192,6136,56
2015-07-16,4440,4380,60
2015-07-17,4235,4200,35
2015-07-18,5065,5005,60
2015-07-19,5251,5225,26
2015-07-20,0,0,0
2015-07-21,5797,5753,44
2015-07-22,5477,5426,51
2015-07-23,4425,4390,35
2015-07-24,6537,6509,28
2015-07-25,5371,5340,31
2015-07-26,5085,5065,20
2015-07-27,3962,3947,15
2015-07-28,5083,5054,29
2015-07-29,4674,4615,59
2015-07-30,5243,5203,40
2015-07-31,5652,5598,54
2015-08-01,12517,11746,771
2015-08-02,7440,7186,254
2015-08-03,8889,8809,80
2015-08-04,7037,6972,65
2015-08-05,4938,4902,36
2015-08-06,4891,4832,59
2015-08-07,5389,5335,54
2015-08-08,5826,5799,27
2015-08-09,4470,4441,29
2015-08-10,5118,5086,32
2015-08-11,5298,5275,23
2015-08-12,6074,6053,21
2015-08-13,7567,7524,43
2015-08-14,8868,8846,22
2015-08-15,8872,8844,28
2015-08-16,7427,7406,21
2015-08-17,6144,6111,33
2015-08-18,6180,6120,60
2015-08-19,5547,5487,60
2015-08-20,4737,4602,135
2015-08-21,4821,4799,22
2015-08-22,5434,5413,21
2015-08-23,7669,7639,30
2015-08-24,7364,7337,27
2015-08-25,4714,4678,36
2015-08-26,9971,9949,22
2015-08-27,9147,9093,54
2015-08-28,8574,8316,258
2015-08-29,6664,6635,29
2015-08-30,7584,7532,52
2015-08-31,7729,7674,55
2015-09-01,5877,5831,46
2015-09-02,4622,4541,81
2015-09-03,4835,4794,41
2015-09-04,5459,5408,51
2015-09-05,7582,7523,59
2015-09-06,4511,4481,30
2015-09-07,4293,4242,51
2015-09-08,4514,4475,39
2015-09-09,3921,3880,41
2015-09-10,3664,3629,35
2015-09-11,3697,3675,22
2015-09-12,4950,4924,26
2015-09-13,4702,4670,32
2015-09-14,0,0,0
2015-09-15,0,0,0
2015-09-16,3849,3822,27
2015-09-17,3009,2987,22
2015-09-18,3108,3089,19
2015-09-19,3550,3493,57
2015-09-20,3482,3452,30
2015-09-21,3722,3704,18
2015-09-22,3882,3825,57
2015-09-23,4103,4074,29
2015-09-24,3116,3084,32
2015-09-25,3223,3192,31
2015-09-26,3596,3533,63
2015-09-27,3184,3155,29
2015-09-28,3618,3593,25
2015-09-29,3880,3842,38
2015-09-30,4197,4161,36
2015-10-01,3189,3169,20
2015-10-02,989,980,9
2015-10-03,5070,5026,44
2015-10-04,2586,2571,15
2015-10-05,2477,2453,24
2015-10-06,1919,1902,17
2015-10-07,2397,2386,11
2015-10-08,1971,1959,12
2015-10-09,1942,1935,7
2015-10-10,1473,1466,7
2015-10-11,566,560,6
2015-10-12,397,394,3
2015-10-13,904,898,6
2015-10-14,1529,1524,5
2015-10-15,1606,1599,7
2015-10-16,1752,1745,7
2015-10-17,1823,1821,2
2015-10-18,2032,2028,4
