loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day(X),rain_per_day,cum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
108,서울,2015-01-01,-5.1,-9.5,-0.2,0,,0,2.2,-15.4,45.8,1.9,9.2,10.09,-2.9
108,서울,2015-01-02,-2.1,-6.8,3.5,0,,0,2,-9.4,58.3,3,9.1,8.74,-1.9
108,서울,2015-01-03,-0.3,-5.6,4.8,0,,0,2.3,-8.2,56.5,3.5,9.1,9.41,-1.5
108,서울,2015-01-04,-0.4,-4.3,2.5,0,,0,3.6,-8,57.8,3.5,9.2,9.6,0.3
108,서울,2015-01-05,-2.7,-7.3,3.7,0,,0,1.8,-15.3,37.8,1.9,9.3,10.05,-1.9
108,서울,2015-01-06,0.2,-5.1,5.8,0,,0,1.8,-12.6,39.6,2.3,5.8,8.14,-0.9
108,서울,2015-01-07,2.5,-0.3,6.1,0,,0,1.5,-9.5,41.1,3,0.3,3.36,0.3
108,서울,2015-01-08,2.8,-1.1,9,0,,0,2.1,-6.1,53.6,4,7.2,8.47,1.6
108,서울,2015-01-09,0.8,-2.5,3.4,0.3,0.3,1,4,-3.5,73,4.8,1.3,2.79,0.2
108,서울,2015-01-10,-4.1,-7.7,0,0,,0,3.8,-14.3,46,2,9.3,10.89,-1.3
108,서울,2015-01-11,-1.3,-6.5,2.1,4,4,1,2.3,-6.9,68.4,4,1.5,5.06,-1.5
108,서울,2015-01-12,-0.1,-4,3.1,0.1,0.1,2,3.2,-5.4,68.1,4.2,7.4,7.52,0.2
108,서울,2015-01-13,-0.9,-6.4,4.4,0,,0,1.9,-9,55.8,3.1,8.7,9.79,-0.2
108,서울,2015-01-14,2.6,-1.2,6.5,0,,0,2,-4.9,58.3,4.3,1.5,5.67,0.8
108,서울,2015-01-15,3.1,0.8,7.1,0,,0,1.5,-3.9,60.6,4.6,1.6,5.51,1.2
108,서울,2015-01-16,1.2,-1.6,4.9,0,,0,2.6,-4.3,66.4,4.5,6.7,6.88,0.5
108,서울,2015-01-17,3.7,0.8,8.4,0,,0,1.8,-2.8,62.9,5,7.2,8.35,2.1
108,서울,2015-01-18,3,1.1,5,3,3,1,3.5,-0.6,78.4,6,0,2.08,0.7
108,서울,2015-01-19,3.6,0.2,6.5,0.5,0.5,2,2.6,1.6,87.5,7,1.1,3.06,2.4
108,서울,2015-01-20,-3.6,-7.4,0.5,0,,0,3.7,-11.5,55.4,2.6,9.4,11.85,1
108,서울,2015-01-21,-4.1,-9.1,2.7,0,,0,2.3,-13.3,49.3,2.3,8.9,10.98,-0.6
108,서울,2015-01-22,-1.1,-4.6,3,0,,0,2.3,-8.7,56.4,3.2,0,4.09,-0.5
108,서울,2015-01-23,-3.3,-7,0.8,0,,0,3.8,-12.1,51.8,2.5,9,10.69,-0.4
108,서울,2015-01-24,-4.5,-8.5,0.8,0,,0,2.6,-14.5,46.4,2,9.7,12.07,-1.2
108,서울,2015-01-25,-3,-8.2,3.6,0,,0,1.9,-13.8,44.9,2.1,9.7,12.34,-0.5
108,서울,2015-01-26,-0.6,-5.3,6.4,0,,0,1.5,-11,47.3,2.7,7.6,10.21,0.4
108,서울,2015-01-27,0.6,-3.5,7.2,0,,0,2.1,-8.1,54.5,3.4,9.1,10.3,0.8
108,서울,2015-01-28,0.4,-3.1,5.8,0,,0,2,-6.2,64.5,3.9,7.9,9.31,1.1
108,서울,2015-01-29,-0.1,-3.8,4.8,0,,0,3,-7.7,57.1,3.4,9,10.43,1.2
108,서울,2015-01-30,0.4,-4.3,6.5,0,,0,2.2,-7.3,57.3,3.6,9.5,11.5,1.4
108,서울,2015-01-31,1.2,-2.7,5.7,0,,0,2.6,-4.7,65.3,4.4,4.1,6.2,1
108,서울,2015-02-01,-9.8,-11.9,-2.8,0,,0,5.3,-22.8,34.1,1,9.7,12.92,-2.8
108,서울,2015-02-02,-5.7,-13,-0.1,0.2,0.2,1,3.1,-13.9,54.6,2.5,7.3,10.34,-3.2
108,서울,2015-02-03,1.7,-2,5.8,0,,0,2.8,-3.5,69,4.7,5,5.88,0.5
108,서울,2015-02-04,2.7,-0.8,8,0,,0,2.5,-5.5,60.3,4.3,8,11.1,2.5
108,서울,2015-02-05,-2.2,-4.7,1.6,0,,0,4.2,-15.5,36.8,1.9,9.7,13.4,0.7
108,서울,2015-02-06,-1.6,-6.4,4,0,,0,3.1,-12.1,46.4,2.5,9.8,13.33,0.6
108,서울,2015-02-07,2,-3.1,6.6,0,,0,2.2,-2.5,72.9,5.3,0.3,3.13,-0.1
108,서울,2015-02-08,7.9,3.2,13,0,,0,2.9,0.4,61.6,6.3,7.3,10.41,4.6
108,서울,2015-02-09,5,4.1,7.9,10.5,10.5,1,3.5,3.7,91.9,8,0,1.41,3.2
108,서울,2015-02-10,1.9,0.5,4.1,0.5,0.5,2,3.5,-1.5,78.5,5.5,2.4,4.86,1.8
108,서울,2015-02-11,0.8,-1.5,3.3,0,,0,2.5,-3.7,72,4.6,1.6,5.48,1.1
108,서울,2015-02-12,2.2,-2.7,8.6,0,,0,1.6,-3.7,67.1,4.7,8.9,11.93,3
108,서울,2015-02-13,5.2,-1.3,11.4,0,,0,2,-3.7,55.3,4.6,7.2,11.33,4.7
108,서울,2015-02-14,5.7,4.8,6.7,8,8,1,3.4,1.8,79,7.2,0,2.74,4.7
108,서울,2015-02-15,3.5,-0.7,7,2.5,2.5,2,4.1,-0.3,78,6.3,4.4,7.29,5.3
108,서울,2015-02-16,0.9,-2.4,5.9,0,,0,3,-6.1,60.4,3.9,8,12.64,3.6
108,서울,2015-02-17,2.1,-1.1,7.5,0,,0,2.3,-5.3,60,4.1,9.3,13.75,4
108,서울,2015-02-18,5.4,0.2,12.5,0.5,0.5,1,2.9,-6,48.6,4.1,5.8,11.32,4.9
108,서울,2015-02-19,1.2,-3.5,4.7,0.5,0.5,2,4.9,-7.1,56.9,4,9.1,12.37,5.2
108,서울,2015-02-20,-1.3,-5.6,4.8,0,,0,3.2,-14.8,35.6,2,9.3,15.22,2.8
108,서울,2015-02-21,2.7,-2,6.4,0,,0,2,-9.6,40.5,3,0,5.9,2.2
108,서울,2015-02-22,2.4,-0.2,5.9,0,,0,3.7,-5.4,56.8,4.1,5.5,9.47,3.4
108,서울,2015-02-23,3.9,-1.9,9.7,0,,0,2.8,-8.1,43.5,3.3,10.3,15.5,4.2
108,서울,2015-02-24,2.8,-1.3,6.7,5.5,5.5,1,3.4,-3,69.5,5.2,0,4.6,2.9
108,서울,2015-02-25,-2.1,-4.6,1.4,0,,0,5.3,-13.1,43.4,2.3,10.8,16.79,2.6
108,서울,2015-02-26,-0.3,-5.4,5.5,0,,0,1.9,-12.7,41.1,2.3,8.6,12.96,2.8
108,서울,2015-02-27,2.9,-3.2,10.4,0,,0,2.3,-10.8,37.8,2.7,10.9,16.17,4.1
108,서울,2015-02-28,4.2,-2.3,11,0,,0,2.3,-7.6,45.5,3.5,10.6,16,4.8
108,서울,2015-03-01,7.7,0.4,15.1,0,,0,1.8,-5.3,42.5,4.1,8.2,13.63,6.2
