date,total,mosquito,etc,loc_num,loc_name,temp,l_temp,h_temp,rain_per_day,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
2015-04-06,201,199,2,108,서울,10.3,6.9,15.4,,2.7,1.2,55.8,6.8,1.7,10.2,11
2015-04-07,147,146,1,108,서울,8.4,5.5,12.2,0,2.6,0.9,59.5,6.5,4.7,10.17,11.6
2015-04-08,91,90,1,108,서울,8.3,3.5,13.7,,2.9,-1.3,52.5,5.6,8.3,14.69,9.6
2015-04-09,172,172,0,108,서울,9.6,3.8,16.3,,2.3,-2.8,43,5,10.8,18.2,11.8
2015-04-10,250,249,1,108,서울,11.6,4.6,19.2,,2.8,-2.2,40.5,5.3,11.6,20.67,13.3
2015-04-11,412,410,2,108,서울,13.5,6.7,20.7,,2.5,-1.2,39.3,5.6,11.6,19.87,15
2015-04-12,461,459,2,108,서울,14.9,9.1,20.4,,2.9,-2.9,30.6,4.9,3.8,12.6,13.6
2015-04-13,472,468,4,108,서울,12,7.4,17.6,6.5,5.9,1.9,53.9,7.1,5.6,14.89,14.7
2015-04-14,132,132,0,108,서울,6.9,5.8,8,10.5,2.7,5.3,89.9,8.9,0,5.33,9.8
2015-04-15,31,31,0,108,서울,11.1,5.6,17,1,2.9,5.8,72,9.2,8.5,16.51,13.6
2015-04-16,576,573,3,108,서울,9.9,6.9,14.8,7,3.6,4.4,69.5,8.5,1.1,3.64,8.7
2015-04-17,83,83,0,108,서울,10.5,4.8,16.1,,3.7,-1.7,45.4,5.4,12.1,22.45,12.6
2015-04-18,417,416,1,108,서울,15.2,5.2,23.7,0,1.9,-3.3,31.9,4.8,9.8,19.74,15.7
2015-04-19,983,982,1,108,서울,14.5,11.2,17.3,12,3.7,8.8,74.8,11.9,0,5.15,15.1
2015-04-20,282,282,0,108,서울,12.2,10.3,16.8,5.5,3.2,7.6,75.3,10.5,3.2,8.68,14.3
2015-04-21,409,408,1,108,서울,14,7.7,20.9,,2.9,0.1,46,6.6,12.5,22.93,15.8
2015-04-22,937,933,4,108,서울,14.2,9.3,20.7,0,3,2.7,47,7.5,11.2,19.32,15
2015-04-23,659,656,3,108,서울,14.5,8,20.1,,3.5,0,41.1,6.2,10.8,21.03,15.7
2015-04-24,768,764,4,108,서울,15.7,10.4,22.8,,3.2,-0.1,38.3,6.3,12.2,22.53,18.5
2015-04-25,763,757,6,108,서울,15.9,9.2,23,,2.7,-2.2,31.3,5.3,12.6,22.89,19
2015-04-26,869,862,7,108,서울,17.3,9.9,24.4,,3.3,1.5,37.6,7.5,11.7,20.92,19.7
2015-04-27,1037,1033,4,108,서울,18.5,12.7,24.9,,2.8,3,39.3,7.7,12.3,22.03,21.6
