mosquito,temp,rain_per_day,cum_rain,wind,humidity,steam_pressure,sunshine_time,sunshine
0.00752619,0.173144876,0,0,0.350877193,0.43715847,0.13559322,0.124087591,0.335641279
0.005521728,0.106007067,0,0,0.333333333,0.487704918,0.125423729,0.343065693,0.33465216
0.003403805,0.102473498,0,0,0.385964912,0.392076503,0.094915254,0.605839416,0.483679525
0.006505049,0.148409894,0,0,0.280701754,0.262295082,0.074576271,0.788321168,0.599406528
0.009417193,0.219081272,0,0,0.368421053,0.228142077,0.084745763,0.846715328,0.680844049
0.015506221,0.286219081,0,0,0.315789474,0.211748634,0.094915254,0.846715328,0.654467524
0.017359404,0.335689046,0,0,0.385964912,0.092896175,0.071186441,0.277372263,0.414770854
0.017699784,0.233215548,0.044982699,0.090909091,0.912280702,0.411202186,0.145762712,0.408759124,0.490273656
0.004992247,0.053003534,0.07266436,0.181818182,0.350877193,0.903005464,0.206779661,0,0.175074184
0.001172422,0.201413428,0.006920415,0.272727273,0.385964912,0.658469945,0.216949153,0.620437956,0.543686119
0.02167089,0.159010601,0.048442907,0.363636364,0.50877193,0.62431694,0.193220339,0.080291971,0.119353775
0.003139064,0.180212014,0,0,0.526315789,0.295081967,0.088135593,0.883211679,0.739531817
0.015733142,0.346289753,0,0,0.210526316,0.110655738,0.06779661,0.715328467,0.650181339
0.037139291,0.32155477,0.083044983,0.090909091,0.526315789,0.696721311,0.308474576,0,0.169139466
0.010665255,0.240282686,0.038062284,0.181818182,0.438596491,0.703551913,0.261016949,0.233576642,0.285525882
0.015430581,0.303886926,0,0,0.385964912,0.303278689,0.128813559,0.912408759,0.755357732
0.035286109,0.310954064,0,0,0.403508772,0.316939891,0.159322034,0.817518248,0.636333663
0.024809954,0.32155477,0,0,0.49122807,0.236338798,0.115254237,0.788321168,0.692713485
0.02889452,0.363957597,0,0,0.438596491,0.198087432,0.118644068,0.890510949,0.742169469
0.02862978,0.371024735,0,0,0.350877193,0.102459016,0.084745763,0.919708029,0.754038905
0.032600885,0.4204947,0,0,0.456140351,0.18852459,0.159322034,0.854014599,0.689086713
0.039068114,0.462897527,0,0,0.368421053,0.211748634,0.166101695,0.897810219,0.725684141
0,0.526501767,0,0,0.245614035,0.202185792,0.206779661,0.700729927,0.628090999
0.061608865,0.409893993,0.024221453,0.090909091,0.385964912,0.726775956,0.410169492,0,0.192548632
0.05794032,0.558303887,0,0,0.263157895,0.448087432,0.366101695,0.897810219,0.711506759
0.105253205,0.551236749,0,0,0.315789474,0.478142077,0.386440678,0.897810219,0.728981207
0.103210922,0.540636042,0.003460208,0.090909091,0.245614035,0.554644809,0.427118644,0.481751825,0.501813386
0.113384516,0.455830389,0.024221453,0.181818182,0.245614035,0.909836066,0.545762712,0.02189781,0.172766238
0.128285617,0.378091873,0,0,0.614035088,0.301912568,0.172881356,0.905109489,0.796571052
0.118641504,0.310954064,0,0,0.473684211,0.192622951,0.101694915,0.941605839,0.825255523
0.107749329,0.35335689,0,0,0.298245614,0.170765027,0.105084746,0.481751825,0.53214639
0.106614727,0.392226148,0,0,0.333333333,0.161202186,0.115254237,0.671532847,0.622485987
0.110661473,0.399293286,0,0,0.315789474,0.553278689,0.308474576,0.284671533,0.47840422
0,0.431095406,0,0,0.403508772,0.426229508,0.274576271,0.773722628,0.711836466
0,0.48409894,0,0,0.280701754,0.215846995,0.183050847,0.868613139,0.77184306
0,0.459363958,0.096885813,0.090909091,0.403508772,0.523224044,0.338983051,0.277372263,0.439169139
0.064785749,0.279151943,0.065743945,0.181818182,1,0.711748634,0.291525424,0.343065693,0.420375865
0.087855981,0.424028269,0,0,0.807017544,0.452185792,0.288135593,0.905109489,0.769535114
0.205362883,0.530035336,0,0,0.456140351,0.546448087,0.423728814,0.635036496,0.630728652
0.31863394,0.48409894,0,0,0.350877193,0.644808743,0.430508475,0.262773723,0.349159248
0.148821905,0.445229682,0,0,0.403508772,0.239071038,0.176271186,0.97080292,0.844048797
0.237358648,0.466431095,0,0,0.263157895,0.226775956,0.166101695,0.948905109,0.699637323
0.29692523,0.434628975,0,0,0.438596491,0.411202186,0.274576271,0.204379562,0.44675239
0.392042661,0.332155477,0.006920415,0.090909091,0.50877193,0.889344262,0.410169492,0.01459854,0.108473459
0.110661473,0.385159011,0,0,0.421052632,0.494535519,0.261016949,0.941605839,0.819320804
