date,mosquito,temp,rain_per_day,accum_rain,wind,humidity,sunshine
2018-04-01,918,11.88571429,0,0,2.414285714,76.28571429,14.98285714
2018-04-02,1872,13.18571429,0,0,2.657142857,74.58571429,14.82571429
2018-04-03,1493,13.84285714,0,0,2.685714286,76.01428571,13.42
2018-04-04,450,13.78571429,15,15,2.8,75.07142857,13.3
2018-04-05,654,13.07142857,13,28,3.042857143,76.55714286,11.61428571
2018-04-06,212,12.07142857,7,20,3.528571429,77.84285714,10.61142857
2018-04-07,121,10.97142857,0,0,4.214285714,75.24285714,11.33142857
2018-04-08,68,9.642857143,2,2,4.357142857,73.5,11.55571429
2018-04-09,197,8.314285714,0,0,4.1,71.37142857,12.33857143
2018-04-10,342,8.157142857,2,2,4.585714286,67.64285714,13.69857143
2018-04-11,524,7.9,0,0,4.485714286,66.91428571,15.28571429
2018-04-12,310,8.314285714,0,0,4.442857143,60.78571429,18.42142857
2018-04-13,504,9.614285714,0,0,4.085714286,54.32857143,18.39428571
2018-04-14,928,10.25714286,6,6,3.714285714,59.31428571,15.86571429
2018-04-15,163,10.88571429,0,0,3.657142857,59.75714286,17.36857143
2018-04-16,250,11.34285714,0,0,3.857142857,57.91428571,17.84571429
2018-04-17,420,10.92857143,0,0,3.242857143,56.34285714,18.99857143
2018-04-18,384,10.97142857,0,0,3.071428571,53.18571429,19.01
2018-04-19,368,11.07142857,0,0,2.914285714,53.51428571,18.73285714
2018-04-20,548,11.24285714,0,0,2.7,57.54285714,20.39714286
2018-04-21,782,12.3,0,0,2.357142857,53.05714286,23.65428571
2018-04-22,883,13.17142857,15,15,2.471428571,52.77142857,21.69142857
2018-04-23,364,13.05714286,50,65,3,59.55714286,18.40285714
2018-04-24,216,13.14285714,1,51,3.3,62.07142857,16.16
2018-04-25,367,13.67142857,0,0,3.442857143,61.82857143,16.19571429
2018-04-26,803,13.85714286,0,0,3.514285714,63.75714286,16.14
2018-04-27,755,13.5,0,0,3.642857143,65.78571429,16.04428571
2018-04-28,808,13,0,0,3.7,67.92857143,16.05285714
2018-04-29,753,12.9,0,0,3.457142857,65.8,19.02428571
2018-04-30,1351,13.97142857,0,0,2.771428571,63.48571429,21.83
2018-05-01,1599,14.88571429,0,0,2.442857143,66.27142857,22.22
2018-05-02,1842,14.91428571,4,4,2.571428571,73.01428571,19.17714286
2018-05-03,528,14.7,0,4,2.9,72.61428571,19.14571429
2018-05-04,971,14.74285714,0,0,3.342857143,70.18571429,19.83857143
2018-05-05,1120,15.31428571,0,0,3.571428571,69.28571429,19.20285714
2018-05-06,2397,15.55714286,21,21,3.7,74.32857143,16.83
2018-05-07,2196,15.57142857,0,0,3.785714286,73.2,16.41714286
2018-05-08,2388,15.51428571,0,0,4.128571429,68.32857143,17.76285714
2018-05-09,2514,15.55714286,0,0,4,63.71428571,21.05714286
2018-05-10,1695,15.75714286,0,0,3.657142857,66.82857143,21.76714286
2018-05-11,1058,15.77142857,0,0,3.114285714,71.04285714,20.23
2018-05-12,2834,15.31428571,25,25,2.914285714,75.35714286,17.21285714
2018-05-13,1682,14.9,0,25,2.785714286,75.74285714,18.28
2018-05-14,1710,14.74285714,0,0,2.657142857,77.31428571,18.11428571
2018-05-15,3721,15.38571429,0,0,2.342857143,78.15714286,18.26857143
2018-05-16,7085,16.24285714,28,28,2.428571429,83.22857143,14.73857143
2018-05-17,4876,17.1,53,81,2.342857143,85.31428571,11.42285714
2018-05-18,3236,17.38571429,7,60,2.457142857,86.25714286,9.911428571
2018-05-19,2558,17.98571429,0,0,2.628571429,81.02857143,13.83714286
2018-05-20,5813,18.64285714,0,0,2.942857143,72.82857143,13.53285714
2018-05-21,3981,18.77142857,0,0,3.142857143,68.32857143,14.56428571
2018-05-22,4010,18.05714286,14,14,3.071428571,71.55714286,12.88571429
2018-05-23,4421,17.34285714,5,19,3.057142857,68.17142857,16.74714286
2018-05-24,3679,16.97142857,0,0,3.285714286,62.31428571,20.12714286
2018-05-25,5690,17.37142857,0,0,3.228571429,56.41428571,22.85714286
2018-05-26,4650,17.64285714,0,0,3.028571429,57.97142857,22.60285714
2018-05-27,6975,17.65714286,0,0,2.685714286,61.08571429,22.92428571
2018-05-28,5654,18.04285714,0,0,2.557142857,62.88571429,23.25428571
2018-05-29,6844,18.32857143,3,3,2.628571429,63.32857143,23.95428571
2018-05-30,5417,18.64285714,0,3,2.442857143,65.8,22.21
2018-05-31,5665,19.01428571,0,0,2.214285714,67.67142857,22.33571429
2018-06-01,7121,19.37142857,0,0,2.171428571,69.87142857,22.82571429
2018-06-02,7541,19.5,0,0,2.128571429,69.18571429,23.10571429
2018-06-03,6739,20.04285714,0,0,2.028571429,69.2,24.66428571
2018-06-04,7218,20.1,0,0,2.028571429,70.25714286,23.85142857
2018-06-05,2418,20.47142857,0,0,1.971428571,66.42857143,25.58285714
2018-06-06,4392,20.71428571,0,0,1.885714286,65.67142857,26.04571429
2018-06-07,4303,20.72857143,0,0,1.871428571,67.7,25.21428571
2018-06-08,5235,20.65714286,0,0,1.9,69.78571429,24.22285714
2018-06-09,5930,20.82857143,17,17,1.9,72.58571429,22.50285714
2018-06-10,13496,20.6,3,20,2.128571429,74.91428571,20.19714286
